ts_epoch,load1,mem_used_kb,temp_mC
1785493564,2.11,299664,41381
1785493565,2.11,299328,40894
1785493566,2.02,301092,42842
1785493567,2.02,301264,42355
1785493568,2.02,301120,41381
1785493569,2.02,299280,42355
1785493570,2.02,304808,41868
1785493571,1.86,303604,40894
1785493572,1.86,306376,42355
1785493573,1.86,302508,42355
1785493574,1.86,301172,42355
1785493575,1.86,299644,41381
1785493577,1.71,287700,41868
1785493578,1.71,296908,41868
1785493579,1.71,297656,40894
1785493580,1.71,297040,41868
1785493581,1.71,296936,41868
1785493582,1.89,297196,41868
1785493583,1.89,295168,42355
1785493584,1.89,302844,41868
1785493585,1.89,301000,40894
1785493586,1.74,301884,42355
1785493587,1.74,301228,41868
1785493588,1.74,301164,42842
1785493589,1.74,301076,41381
1785493590,1.74,300688,41381
1785493591,1.60,300044,41381
1785493592,1.60,300984,41381
1785493593,1.60,300932,42355
1785493594,1.60,299776,41868
1785493595,1.60,299428,41381
