=== podejscie 1, 2026-08-16 01:52:58 CEST ===
[188/480] F9-X b=8 q=16 NO_R1_FACTOR p99=2419157 ns
[189/480] F9-X b=8 q=32 DEFAULT p99=3640680 ns
[190/480] F9-X b=8 q=32 NO_R2_CANON p99=3675846 ns
[191/480] F9-X b=8 q=32 NO_R1_NO_R2 p99=4169673 ns
[192/480] F9-X b=8 q=32 NO_R1_FACTOR p99=4048915 ns
[193/480] F9-X b=9 q=1 NO_R1_NO_R2 p99=545994 ns
[194/480] F9-X b=9 q=1 DEFAULT p99=442088 ns
[195/480] F9-X b=9 q=1 NO_R2_CANON p99=442976 ns
[196/480] F9-X b=9 q=1 NO_R1_FACTOR p99=543809 ns
[197/480] F9-X b=9 q=2 NO_R1_FACTOR p99=691695 ns
[198/480] F9-X b=9 q=2 DEFAULT p99=743620 ns
[199/480] F9-X b=9 q=2 NO_R1_NO_R2 p99=692825 ns
[200/480] F9-X b=9 q=2 NO_R2_CANON p99=617900 ns
[201/480] F9-X b=9 q=4 NO_R1_NO_R2 p99=1238540 ns
[202/480] F9-X b=9 q=4 NO_R2_CANON p99=876026 ns
[203/480] F9-X b=9 q=4 DEFAULT p99=794694 ns
[204/480] F9-X b=9 q=4 NO_R1_FACTOR p99=1239725 ns
[205/480] F9-X b=9 q=8 NO_R1_FACTOR p99=1634868 ns
[206/480] F9-X b=9 q=8 NO_R1_NO_R2 p99=1811885 ns
[207/480] F9-X b=9 q=8 NO_R2_CANON p99=1293503 ns
[208/480] F9-X b=9 q=8 DEFAULT p99=1116153 ns
[209/480] F9-X b=9 q=16 NO_R2_CANON p99=1991123 ns
[210/480] F9-X b=9 q=16 DEFAULT p99=1959235 ns
[211/480] F9-X b=9 q=16 NO_R1_FACTOR p99=2415767 ns
[212/480] F9-X b=9 q=16 NO_R1_NO_R2 p99=2580598 ns
[213/480] F9-X b=9 q=32 NO_R1_FACTOR p99=4028672 ns
[214/480] F9-X b=9 q=32 DEFAULT p99=3533660 ns
[215/480] F9-X b=9 q=32 NO_R2_CANON p99=3647419 ns
[216/480] F9-X b=9 q=32 NO_R1_NO_R2 p99=4105153 ns
[217/480] F9-X b=10 q=1 DEFAULT p99=438995 ns
[218/480] F9-X b=10 q=1 NO_R1_NO_R2 p99=540623 ns
[219/480] F9-X b=10 q=1 NO_R2_CANON p99=396569 ns
[220/480] F9-X b=10 q=1 NO_R1_FACTOR p99=533827 ns
[221/480] F9-X b=10 q=2 NO_R1_NO_R2 p99=688751 ns
[222/480] F9-X b=10 q=2 NO_R1_FACTOR p99=688047 ns
[223/480] F9-X b=10 q=2 NO_R2_CANON p99=572363 ns
[224/480] F9-X b=10 q=2 DEFAULT p99=560216 ns
[225/480] F9-X b=10 q=4 NO_R1_NO_R2 p99=1219800 ns
[226/480] F9-X b=10 q=4 DEFAULT p99=737343 ns
[227/480] F9-X b=10 q=4 NO_R2_CANON p99=863934 ns
[228/480] F9-X b=10 q=4 NO_R1_FACTOR p99=1237281 ns
[229/480] F9-X b=10 q=8 NO_R1_FACTOR p99=1594795 ns
[230/480] F9-X b=10 q=8 DEFAULT p99=1129708 ns
[231/480] F9-X b=10 q=8 NO_R1_NO_R2 p99=1793238 ns
