plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,engine_origin,oracle_origin,replica_origin,step_origin,agree_origin,agree_step_origin,engine_silence,oracle_silence,agree_silence,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
2417,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n4,SUB,16/15,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,2,1,0,0,1,0,0,-1,
2417,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n5,HASH,4/35,2,2,2,2,2,2,1,1,1,1,7,7,7,7,1,1,9,9,1,0,1,0,2,1,
2418,HC_SHIFT_UNDER_HASH,"HC_NONINT,HC_SHIFT_UNDER_HASH",3,n0,SUB,5/8,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
2418,HC_SHIFT_UNDER_HASH,"HC_NONINT,HC_SHIFT_UNDER_HASH",3,n1,SHIFT,5/8,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
2418,HC_SHIFT_UNDER_HASH,"HC_NONINT,HC_SHIFT_UNDER_HASH",3,n2,HASH,735/6176,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,7,7,1,0,5,0,6,1,
2419,HC_INT,HC_INT,3,n0,PASS,1/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2419,HC_INT,HC_INT,3,n1,HASH,1/6,1,1,4,1,1,3,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
2419,HC_INT,HC_INT,3,n2,AGSE,1/12,3,3,10,3,3,9,1,0,1,0,1,1,1,1,1,1,4,4,1,2,3,0,1,0,
2420,HC_SINGLE,HC_SINGLE,1,n0,REDUCE,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2421,HC_DEEP,"HC_DEEP,HC_INT,HC_NONINT",6,n0,HASH,2/9,1,1,2,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
2421,HC_DEEP,"HC_DEEP,HC_INT,HC_NONINT",6,n1,HASH,2/15,3,3,5,3,3,5,1,0,1,1,0,0,0,0,1,1,3,3,1,2,3,0,1,0,
2421,HC_DEEP,"HC_DEEP,HC_INT,HC_NONINT",6,n2,SHIFT,1/3,0,0,0,0,0,0,1,1,1,1,8,8,8,8,1,1,8,8,1,0,0,0,0,0,
2421,HC_DEEP,"HC_DEEP,HC_INT,HC_NONINT",6,n3,AGSE,4/9,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,3,3,1,0,1,0,1,0,
2421,HC_DEEP,"HC_DEEP,HC_INT,HC_NONINT",6,n4,AGSE,2/45,11,11,18,11,11,17,1,0,1,0,2,2,2,2,1,1,13,13,1,9,11,0,2,0,
2421,HC_DEEP,"HC_DEEP,HC_INT,HC_NONINT",6,n5,REDUCE,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2422,PASS,HC_SINGLE,3,n0,PASS,1/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2422,PASS,HC_SINGLE,3,n1,PASS,1/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2422,PASS,HC_SINGLE,3,n2,PASS,1/3,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2423,SHIFT,"HC_DEEP,HC_SINGLE",4,n0,SHIFT,3/10,0,0,0,0,0,0,1,1,1,1,5,5,5,5,1,1,5,5,1,0,0,0,0,0,
2423,SHIFT,"HC_DEEP,HC_SINGLE",4,n1,SHIFT,3/10,0,0,0,0,0,0,1,1,1,1,5,5,5,5,1,1,5,5,1,0,0,0,0,0,
2423,SHIFT,"HC_DEEP,HC_SINGLE",4,n2,SHIFT,3/10,0,0,0,0,0,0,1,1,1,1,8,8,8,8,1,1,8,8,1,0,0,0,0,0,
2423,SHIFT,"HC_DEEP,HC_SINGLE",4,n3,SHIFT,3/10,0,0,0,0,0,0,1,1,1,1,13,13,13,13,1,1,13,13,1,0,0,0,0,0,
2424,HASH,HC_NONINT,1,n0,HASH,10/31,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,2,2,1,0,1,1,2,1,2
2425,ADD,HC_DEEP,4,n0,ADD,1/2,1,1,2,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
2425,ADD,HC_DEEP,4,n1,ADD,1/3,2,2,3,2,2,2,1,0,1,0,0,0,0,0,1,1,2,2,1,0,2,0,2,0,
2425,ADD,HC_DEEP,4,n2,ADD,1/3,2,2,4,2,2,4,1,0,1,1,0,0,0,0,1,1,2,2,1,2,2,0,0,0,
2425,ADD,HC_DEEP,4,n3,ADD,1/3,2,2,4,2,2,3,1,0,1,0,0,0,0,0,1,1,2,2,1,2,2,0,0,0,
2426,SUB,HC_DEEP,6,n0,SUB,5/3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
2426,SUB,HC_DEEP,6,n1,SUB,40/9,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
2426,SUB,HC_DEEP,6,n2,SUB,160/9,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,
2426,SUB,HC_DEEP,6,n3,SUB,5/2,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
2426,SUB,HC_DEEP,6,n4,SUB,80/9,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,
2426,SUB,HC_DEEP,6,n5,SUB,25/4,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
2427,THETA,HC_DEEP,4,n0,THETA,9/10,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
2427,THETA,HC_DEEP,4,n1,THETA,9/5,2,0,1,2,1,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,-1,
2427,THETA,HC_DEEP,4,n2,THETA,2/5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
2427,THETA,HC_DEEP,4,n3,THETA,27/20,2,1,2,2,1,2,0,1,1,1,0,0,0,0,1,1,2,1,0,0,1,0,1,0,
2428,NTHETA,,2,n0,NTHETA,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
