family	profile	q	block	compute_median_ns	compute_p99_ns	slot_ns	lost_records
F9-R2	NO_R2_CANON	2	14	258700	535845	40000000	0
F9-R2	DEFAULT	2	15	253090	475439	40000000	0
F9-R2	NO_R1_FACTOR	2	15	257701	477902	40000000	0
F9-R2	NO_R1_NO_R2	2	15	253368	467254	40000000	0
F9-R2	NO_R2_CANON	2	15	253516	504124	40000000	0
F9-R2	DEFAULT	2	16	259515	472957	40000000	0
F9-R2	NO_R1_FACTOR	2	16	261089	463031	40000000	0
F9-R2	NO_R1_NO_R2	2	16	258663	458845	40000000	0
F9-R2	NO_R2_CANON	2	16	258681	453660	40000000	0
F9-R2	DEFAULT	2	17	260238	558604	40000000	0
F9-R2	NO_R1_FACTOR	2	17	257627	611271	40000000	0
F9-R2	NO_R1_NO_R2	2	17	257052	457328	40000000	0
F9-R2	NO_R2_CANON	2	17	259108	459235	40000000	0
F9-R2	DEFAULT	2	18	260627	465162	40000000	0
F9-R2	NO_R1_FACTOR	2	18	260349	558865	40000000	0
F9-R2	NO_R1_NO_R2	2	18	259404	465495	40000000	0
F9-R2	NO_R2_CANON	2	18	259367	470532	40000000	0
F9-R2	DEFAULT	2	19	260571	492346	40000000	0
F9-R2	NO_R1_FACTOR	2	19	260811	453439	40000000	0
F9-R2	NO_R1_NO_R2	2	19	259293	458161	40000000	0
F9-R2	NO_R2_CANON	2	19	259201	397755	40000000	0
F9-R2	DEFAULT	2	20	261367	511623	40000000	0
F9-R2	NO_R1_FACTOR	2	20	261534	502123	40000000	0
F9-R2	NO_R1_NO_R2	2	20	257830	450143	40000000	0
F9-R2	NO_R2_CANON	2	20	257404	457217	40000000	0
F9-R2	DEFAULT	4	1	436994	711714	40000000	0
F9-R2	NO_R1_FACTOR	4	1	439606	775620	40000000	0
F9-R2	NO_R1_NO_R2	4	1	493809	856101	40000000	0
F9-R2	NO_R2_CANON	4	1	508383	835731	40000000	0
F9-R2	DEFAULT	4	2	441254	691251	40000000	0
F9-R2	NO_R1_FACTOR	4	2	435791	615659	40000000	0
F9-R2	NO_R1_NO_R2	4	2	508717	794972	40000000	0
F9-R2	NO_R2_CANON	4	2	507253	833175	40000000	0
F9-R2	DEFAULT	4	3	439329	648715	40000000	0
F9-R2	NO_R1_FACTOR	4	3	438662	745973	40000000	0
F9-R2	NO_R1_NO_R2	4	3	508939	778509	40000000	0
F9-R2	NO_R2_CANON	4	3	504402	779806	40000000	0
F9-R2	DEFAULT	4	4	442884	726696	40000000	0
F9-R2	NO_R1_FACTOR	4	4	433680	695400	40000000	0
F9-R2	NO_R1_NO_R2	4	4	507531	793380	40000000	0
F9-R2	NO_R2_CANON	4	4	509161	809954	40000000	0
F9-R2	DEFAULT	4	5	420976	788732	40000000	0
F9-R2	NO_R1_FACTOR	4	5	428717	737510	40000000	0
F9-R2	NO_R1_NO_R2	4	5	510569	899786	40000000	0
F9-R2	NO_R2_CANON	4	5	498883	839342	40000000	0
F9-R2	DEFAULT	4	6	437588	771936	40000000	0
F9-R2	NO_R1_FACTOR	4	6	434681	645567	40000000	0
F9-R2	NO_R1_NO_R2	4	6	509957	842472	40000000	0
F9-R2	NO_R2_CANON	4	6	507106	625863	40000000	0
F9-R2	DEFAULT	4	7	438495	691844	40000000	0
F9-R2	NO_R1_FACTOR	4	7	436514	633381	40000000	0
F9-R2	NO_R1_NO_R2	4	7	491124	837453	40000000	0
F9-R2	NO_R2_CANON	4	7	507235	813880	40000000	0
F9-R2	DEFAULT	4	8	440792	665159	40000000	0
F9-R2	NO_R1_FACTOR	4	8	439291	828898	40000000	0
F9-R2	NO_R1_NO_R2	4	8	506736	829398	40000000	0
F9-R2	NO_R2_CANON	4	8	509883	746399	40000000	0
F9-R2	DEFAULT	4	9	442680	817397	40000000	0
F9-R2	NO_R1_FACTOR	4	9	436791	693918	40000000	0
F9-R2	NO_R1_NO_R2	4	9	509365	719621	40000000	0
F9-R2	NO_R2_CANON	4	9	509456	924193	40000000	0
F9-R2	DEFAULT	4	10	424106	626622	40000000	0
F9-R2	NO_R1_FACTOR	4	10	441901	700157	40000000	0
F9-R2	NO_R1_NO_R2	4	10	491993	806712	40000000	0
F9-R2	NO_R2_CANON	4	10	509623	808749	40000000	0
F9-R2	DEFAULT	4	11	425310	700085	40000000	0
F9-R2	NO_R1_FACTOR	4	11	441958	657955	40000000	0
F9-R2	NO_R1_NO_R2	4	11	507939	782195	40000000	0
F9-R2	NO_R2_CANON	4	11	507346	777435	40000000	0
F9-R2	DEFAULT	4	12	436254	695566	40000000	0
F9-R2	NO_R1_FACTOR	4	12	439087	764268	40000000	0
F9-R2	NO_R1_NO_R2	4	12	505253	857434	40000000	0
F9-R2	NO_R2_CANON	4	12	509587	662900	40000000	0
F9-R2	DEFAULT	4	13	441717	643344	40000000	0
F9-R2	NO_R1_FACTOR	4	13	440661	663844	40000000	0
F9-R2	NO_R1_NO_R2	4	13	508457	782750	40000000	0
F9-R2	NO_R2_CANON	4	13	510476	902453	40000000	0
F9-R2	DEFAULT	4	14	440235	744787	40000000	0
F9-R2	NO_R1_FACTOR	4	14	441828	670566	40000000	0
F9-R2	NO_R1_NO_R2	4	14	510790	780694	40000000	0
F9-R2	NO_R2_CANON	4	14	503642	773898	40000000	0
F9-R2	DEFAULT	4	15	425884	703659	40000000	0
F9-R2	NO_R1_FACTOR	4	15	421792	687585	40000000	0
F9-R2	NO_R1_NO_R2	4	15	500717	776584	40000000	0
F9-R2	NO_R2_CANON	4	15	507401	813009	40000000	0
F9-R2	DEFAULT	4	16	441161	845119	40000000	0
F9-R2	NO_R1_FACTOR	4	16	440087	721231	40000000	0
F9-R2	NO_R1_NO_R2	4	16	509289	856137	40000000	0
F9-R2	NO_R2_CANON	4	16	491161	777916	40000000	0
F9-R2	DEFAULT	4	17	442421	783992	40000000	0
F9-R2	NO_R1_FACTOR	4	17	426328	713548	40000000	0
F9-R2	NO_R1_NO_R2	4	17	507050	782399	40000000	0
F9-R2	NO_R2_CANON	4	17	507493	966581	40000000	0
F9-R2	DEFAULT	4	18	437773	773454	40000000	0
F9-R2	NO_R1_FACTOR	4	18	423402	665770	40000000	0
F9-R2	NO_R1_NO_R2	4	18	494531	802546	40000000	0
F9-R2	NO_R2_CANON	4	18	493236	798009	40000000	0
F9-R2	DEFAULT	4	19	425310	744509	40000000	0
F9-R2	NO_R1_FACTOR	4	19	439513	725473	40000000	0
F9-R2	NO_R1_NO_R2	4	19	505216	825120	40000000	0
F9-R2	NO_R2_CANON	4	19	507679	848249	40000000	0
F9-R2	DEFAULT	4	20	436310	706528	40000000	0
F9-R2	NO_R1_FACTOR	4	20	422458	653103	40000000	0
F9-R2	NO_R1_NO_R2	4	20	503957	839952	40000000	0
F9-R2	NO_R2_CANON	4	20	506141	823452	40000000	0
F9-R2	DEFAULT	8	1	771287	1287374	40000000	0
F9-R2	NO_R1_FACTOR	8	1	798398	1203301	40000000	0
F9-R2	NO_R1_NO_R2	8	1	838490	1286910	40000000	0
F9-R2	NO_R2_CANON	8	1	869730	1247114	40000000	0
F9-R2	DEFAULT	8	2	803213	1162135	40000000	0
F9-R2	NO_R1_FACTOR	8	2	798509	1155931	40000000	0
F9-R2	NO_R1_NO_R2	8	2	844341	1251930	40000000	0
F9-R2	NO_R2_CANON	8	2	871063	1373372	40000000	0
F9-R2	DEFAULT	8	3	801176	1160301	40000000	0
F9-R2	NO_R1_FACTOR	8	3	763732	1242986	40000000	0
F9-R2	NO_R1_NO_R2	8	3	870027	1252931	40000000	0
F9-R2	NO_R2_CANON	8	3	868953	1265264	40000000	0
F9-R2	DEFAULT	8	4	805769	1152375	40000000	0
F9-R2	NO_R1_FACTOR	8	4	797454	1181171	40000000	0
F9-R2	NO_R1_NO_R2	8	4	841211	1188873	40000000	0
F9-R2	NO_R2_CANON	8	4	856804	1178299	40000000	0
F9-R2	DEFAULT	8	5	791121	1144764	40000000	0
F9-R2	NO_R1_FACTOR	8	5	761565	1130690	40000000	0
F9-R2	NO_R1_NO_R2	8	5	868267	1368780	40000000	0
F9-R2	NO_R2_CANON	8	5	872250	1238135	40000000	0
F9-R2	DEFAULT	8	6	765694	1170079	40000000	0
F9-R2	NO_R1_FACTOR	8	6	782343	1082654	40000000	0
F9-R2	NO_R1_NO_R2	8	6	863472	1254893	40000000	0
F9-R2	NO_R2_CANON	8	6	869360	1369392	40000000	0
F9-R2	DEFAULT	8	7	798713	1122413	40000000	0
F9-R2	NO_R1_FACTOR	8	7	765880	1155968	40000000	0
F9-R2	NO_R1_NO_R2	8	7	835527	1335058	40000000	0
F9-R2	NO_R2_CANON	8	7	838287	1361058	40000000	0
F9-R2	DEFAULT	8	8	804435	1156875	40000000	0
F9-R2	NO_R1_FACTOR	8	8	797157	1176727	40000000	0
F9-R2	NO_R1_NO_R2	8	8	871268	1477761	40000000	0
F9-R2	NO_R2_CANON	8	8	842046	1188023	40000000	0
F9-R2	DEFAULT	8	9	795714	1228283	40000000	0
F9-R2	NO_R1_FACTOR	8	9	765289	1215970	40000000	0
F9-R2	NO_R1_NO_R2	8	9	871582	1243951	40000000	0
F9-R2	NO_R2_CANON	8	9	872194	1223226	40000000	0
F9-R2	DEFAULT	8	10	803731	1090431	40000000	0
F9-R2	NO_R1_FACTOR	8	10	802250	1149135	40000000	0
F9-R2	NO_R1_NO_R2	8	10	872211	1366743	40000000	0
F9-R2	NO_R2_CANON	8	10	879434	1205189	40000000	0
F9-R2	DEFAULT	8	11	761547	1152764	40000000	0
F9-R2	NO_R1_FACTOR	8	11	798361	1151617	40000000	0
F9-R2	NO_R1_NO_R2	8	11	870472	1235134	40000000	0
F9-R2	NO_R2_CANON	8	11	871601	1234578	40000000	0
F9-R2	DEFAULT	8	12	804286	1179578	40000000	0
F9-R2	NO_R1_FACTOR	8	12	801120	1249170	40000000	0
F9-R2	NO_R1_NO_R2	8	12	868656	1167134	40000000	0
F9-R2	NO_R2_CANON	8	12	869341	1439242	40000000	0
F9-R2	DEFAULT	8	13	802583	1278892	40000000	0
F9-R2	NO_R1_FACTOR	8	13	765269	1261281	40000000	0
F9-R2	NO_R1_NO_R2	8	13	870193	1203467	40000000	0
F9-R2	NO_R2_CANON	8	13	869249	1490186	40000000	0
F9-R2	DEFAULT	8	14	802622	1209470	40000000	0
F9-R2	NO_R1_FACTOR	8	14	786231	1200375	40000000	0
F9-R2	NO_R1_NO_R2	8	14	867455	1464839	40000000	0
F9-R2	NO_R2_CANON	8	14	868380	1194952	40000000	0
F9-R2	DEFAULT	8	15	803861	1280819	40000000	0
F9-R2	NO_R1_FACTOR	8	15	795250	1087284	40000000	0
F9-R2	NO_R1_NO_R2	8	15	866397	1145709	40000000	0
F9-R2	NO_R2_CANON	8	15	872787	1193246	40000000	0
F9-R2	DEFAULT	8	16	801582	1071635	40000000	0
F9-R2	NO_R1_FACTOR	8	16	804212	1123486	40000000	0
