plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
814,HASH,n0,3/8,147/1000,2,0,2,2
814,HASH,n3,147/1000,5/8,6,0,6,6
821,HC_NONINT,n0,1/2,1/5,2,0,2,2
822,HC_SHIFT_UNDER_HASH,n2,2/5,1/16,2,0,2,2
823,HC_INT,n0,147/1000,147/1000,1,0,1,1
823,HC_INT,n1,147/1000,147/1000,1,0,1,1
825,HC_DEEP,n0,1/2,1,2,0,2,2
828,HASH,n0,1,2/3,2,0,2,2
835,HC_NONINT,n0,1/5,2/5,2,0,2,2
837,HC_INT,n0,1,1/100,1,0,1,1
842,HASH,n0,1/10,1/100,1,0,1,1
849,HC_NONINT,n0,1/2,1,2,0,2,2
849,HC_NONINT,n2,1/2,2/3,2,0,2,2
851,HC_INT,n0,2/3,1/3,1,0,1,1
856,HASH,n0,3/8,1/2,2,0,2,2
856,HASH,n1,1/2,3/8,2,0,2,2
856,HASH,n2,1/2,3/8,2,0,2,2
856,HASH,n5,1/2,3/8,2,0,2,2
863,HC_NONINT,n0,5/8,1/2,2,0,2,2
870,HASH,n0,5/8,1/10,2,0,2,2
870,HASH,n1,1/10,5/8,7,0,7,7
877,HC_NONINT,n0,3/8,1,4,0,4,4
884,HASH,n0,1/5,2/5,2,0,2,2
898,HASH,n0,1/2,1/10,1,0,1,1
898,HASH,n2,1/2,1/10,1,0,1,1
905,HC_NONINT,n0,147/1000,2/3,6,0,6,6
909,HC_DEEP,n3,1/10,1/2,5,0,5,5
912,HASH,n0,2/3,1/100,2,0,2,2
920,HC_SHIFT_UNDER_HASH,n0,4/25,1/8,2,0,2,2
921,HC_INT,n0,1/16,1/16,1,0,1,1
926,HASH,n0,1/8,5/8,5,0,5,5
926,HASH,n2,1/8,5/8,5,0,5,5
934,HC_SHIFT_UNDER_HASH,n0,4/25,4/25,1,0,1,1
935,HC_INT,n0,1/4,1/4,1,0,1,1
940,HASH,n0,1/16,1/10,3,0,3,3
940,HASH,n1,1/10,1/16,2,0,2,2
947,HC_NONINT,n4,1/8,5/8,5,0,5,5
949,HC_INT,n1,1/3,1,3,0,3,3
949,HC_INT,n2,1/3,1/3,1,0,1,1
954,HASH,n0,1/3,2/5,2,0,2,2
961,HC_NONINT,n1,1/3,147/1000,2,0,2,2
965,HC_DEEP,n0,3/8,1/8,1,0,1,1
968,HASH,n0,2/5,1/100,1,0,1,1
968,HASH,n1,1/100,2/5,40,0,40,40
968,HASH,n2,2/5,2/3,3,0,3,3
975,HC_NONINT,n0,2/3,1/2,2,0,2,2
982,HASH,n0,2/3,1/16,2,0,2,2
989,HC_NONINT,n0,147/1000,2/5,4,0,4,4
991,HC_INT,n0,1/100,2/5,40,0,40,40
996,HASH,n0,1/4,1/100,1,0,1,1
996,HASH,n1,1/100,1/4,25,0,25,25
1003,HC_NONINT,n0,3/8,1/5,2,0,2,2
1004,HC_SHIFT_UNDER_HASH,n3,4/25,2/5,3,0,3,3
1005,HC_INT,n0,1,2/5,2,0,2,2
1010,HASH,n0,1/100,1,100,0,100,100
1024,HASH,n0,1/2,1/8,1,0,1,1
1024,HASH,n1,1/2,1/8,1,0,1,1
1031,HC_NONINT,n0,1/3,1/4,2,0,2,2
1035,HC_DEEP,n0,1/8,5/8,5,0,5,5
1038,HASH,n0,1/10,147/1000,3,0,3,3
1045,HC_NONINT,n0,1/5,3/10,2,0,2,2
1052,HASH,n0,2/3,1/5,2,0,2,2
1059,HC_NONINT,n1,1/8,3/8,3,0,3,3
1066,HASH,n0,5/8,1/8,1,0,1,1
1073,HC_NONINT,n1,147/1000,2/3,6,0,6,6
1080,HASH,n0,1/100,3/10,30,0,30,30
1087,HC_NONINT,n0,1/4,1/2,2,0,2,2
1089,HC_INT,n3,1/2,1/16,1,0,1,1
1094,HASH,n0,1/100,147/1000,16,0,16,16
1101,HC_NONINT,n0,1/10,2/5,4,0,4,4
1108,HASH,n0,1/16,1/10,3,0,3,3
1108,HASH,n1,1/10,1/16,2,0,2,2
1115,HC_NONINT,n1,1/16,1/100,2,0,2,2
1119,HC_DEEP,n0,4/25,1/2,4,0,4,4
1122,HASH,n0,1/8,1/2,4,0,4,4
1136,HASH,n0,3/10,3/10,1,0,1,1
1143,HC_NONINT,n1,4/25,1/3,3,0,3,3
1150,HASH,n0,1/4,1,4,0,4,4
1157,HC_NONINT,n2,1/100,3/10,30,0,30,30
1164,HASH,n0,5/8,1/5,2,0,2,2
1171,HC_NONINT,n0,1/10,1/3,4,0,4,4
1178,HASH,n0,1,2/3,2,0,2,2
1187,HC_INT,n0,1/3,1/3,1,0,1,1
1189,HC_DEEP,n1,1/2,3/10,2,0,2,2
1192,HASH,n0,1/100,2/5,40,0,40,40
1199,HC_NONINT,n0,3/10,5/8,3,0,3,3
1200,HC_SHIFT_UNDER_HASH,n3,2/5,3/10,2,0,2,2
1206,HASH,n0,2/5,1,3,0,3,3
1206,HASH,n3,2/5,1,3,0,3,3
1215,HC_INT,n3,2/5,1/5,1,0,1,1
1220,HASH,n0,1/8,1/5,3,0,3,3
1227,HC_NONINT,n0,2/3,2/3,1,0,1,1
