profile,slug,suite,path,expected_failure,status,returncode,r1,r2,stdout_sha256,stderr_sha256
ALGSTRUCT,ALGSTRUCT,integration_serial,test/IntegrationTest_serial/simple/query.rql,False,compiled,0,0,0,c359ac55ae277d5235762e94855616944ab013f351c66d1c66b1bc1d455629f3,30b874e45398b701780194d6a6f95324a2edcb45eb9cdaec7f1c4992fa985b43
ALGSTRUCT,ALGSTRUCT,integration_serial,test/IntegrationTest_serial/simple_max/query.rql,False,compiled,0,0,0,aa6891da523b5bec820e24b2b493d972fda2c72c845d229fc8583167f4180d51,2c600d562c0249cccd6133f191d096fe089f7c32ebb9817b8150297655c18e6d
ALGSTRUCT,ALGSTRUCT,integration_serial,test/IntegrationTest_serial/xqry_elem_limit/query.rql,False,compiled,0,0,0,c6bc611840716c3c070922ee9baedf3ff7d80290f628cf72dfc90b978d512d5d,05a4c4033f3ca3c4bfb0d7cff126bbf1166be157a414c49282492b57e8304869
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/Pattern1/query.rql,False,compiled,0,0,1,501b0c6819243ceaa155d4b2842022d5cda6d52105a672802c3ae94b40b5f87d,4aaa3520e33182532fc84e7af65804ef1a5eb09a4cd59e33380bb28b4e87e16d
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/Pattern2/query.rql,False,compiled,0,0,1,0d9795fcc2cb823b262899ba6ea6995278cab381bf1ee34005a6dfa4e37ff753,3a68c1845087c9187a63668eef783439740111fc67f26f83e36f2168279958a6
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/Pattern3/query-unfold.rql,False,compiled,0,0,0,f15ef89844caba0a5efdcddad987bd75515cb80b853a1712d2f1ad5dcdaf8cfc,5bdecd6f180b19671acba25215e1fbab3d7e3e3583a7312a6342f4a7812c565d
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/Pattern4/query-crc.rql,False,compiled,0,0,0,a0c345d376bf61dfaa67d004193a71e9edbec18beffaef672711d35b201abb43,5bdecd6f180b19671acba25215e1fbab3d7e3e3583a7312a6342f4a7812c565d
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/Pattern6/query.rql,False,compiled,0,0,0,e5dec026f2158aeac3aabb1e26590e3920f648ca07fe43f04002dd6f13595e22,cbfc273c726a56b89f2f4b23d1a4f4e3a13baad026c89389cc9dd1e7d7dbad79
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/Pattern7/query.rql,False,compiled,0,0,0,0d77a67407d200f4c469964b14fc325ecafa75da799f87123b4fd38f06facdc2,40939aeb3833da36ec697f2fc7a27fcbbf5d9d0976bb60a7687dbcf96696ba92
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/dsp/query.rql,False,compiled,0,0,1,fb35bd51206ccb40c012da8f4f8e22b2e2dcf0b61a96642144b6272ea9c50235,b9ba046f5214b00add59a1d93e26dd5ddbbcc7e33701ab3708f5103ff7c5fc63
