plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
3839,ADD,,1,n0,ADD,3/8,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
3840,SUB,HC_DEEP,4,n0,SUB,8/15,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3840,SUB,HC_DEEP,4,n1,SUB,3/5,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3840,SUB,HC_DEEP,4,n2,SUB,7/5,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3840,SUB,HC_DEEP,4,n3,SUB,7/15,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3841,THETA,,1,n0,THETA,4/5,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
3842,NTHETA,,1,n0,NTHETA,3/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3843,AGSE,,2,n0,AGSE,1/10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3843,AGSE,,2,n1,AGSE,3/40,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
3844,REDUCE,"HC_DEEP,HC_SINGLE",5,n0,REDUCE,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3844,REDUCE,"HC_DEEP,HC_SINGLE",5,n1,REDUCE,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3844,REDUCE,"HC_DEEP,HC_SINGLE",5,n2,REDUCE,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3844,REDUCE,"HC_DEEP,HC_SINGLE",5,n3,REDUCE,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3844,REDUCE,"HC_DEEP,HC_SINGLE",5,n4,REDUCE,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3845,HC_NONINT,"HC_DEEP,HC_NONINT",5,n0,HASH,1/11,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
3845,HC_NONINT,"HC_DEEP,HC_NONINT",5,n1,HASH,1/19,6,6,6,6,6,6,1,1,1,1,4,5,0,2,1,
3845,HC_NONINT,"HC_DEEP,HC_NONINT",5,n2,PASS,1/19,6,6,7,6,6,6,1,0,1,0,6,6,0,0,0,
3845,HC_NONINT,"HC_DEEP,HC_NONINT",5,n3,AGSE,1/38,16,16,19,16,16,18,1,0,1,0,12,16,0,4,0,
3845,HC_NONINT,"HC_DEEP,HC_NONINT",5,n4,SHIFT,1/3,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
3846,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n0,HASH,1/101,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
3846,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n1,SHIFT,1,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
3846,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n2,AGSE,1/300,5,5,6,5,5,5,1,0,1,0,0,5,0,5,0,
3846,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n3,PASS,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3846,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n4,HASH,1/101,201,201,303,201,201,302,1,0,1,0,101,201,0,100,0,
3847,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",6,n0,AGSE,4/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3847,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",6,n1,SHIFT,1/5,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
3847,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",6,n2,HASH,1/10,5,5,8,5,5,7,1,0,1,0,4,5,0,1,0,
3847,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",6,n3,PASS,1/10,5,5,9,5,5,8,1,0,1,0,5,5,0,0,0,
3847,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",6,n4,AGSE,4/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3847,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",6,n5,SHIFT,1/5,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
3848,HC_SINGLE,HC_SINGLE,1,n0,SHIFT,4/25,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
3849,HC_DEEP,HC_DEEP,5,n0,AGSE,1/200,4,4,5,4,4,4,1,0,1,0,0,4,0,4,0,
3849,HC_DEEP,HC_DEEP,5,n1,SUB,1/75,2,2,2,2,2,3,1,1,1,0,2,2,0,0,0,
3849,HC_DEEP,HC_DEEP,5,n2,AGSE,3/800,6,6,8,6,6,7,1,0,1,0,6,6,0,0,0,
3849,HC_DEEP,HC_DEEP,5,n3,PASS,1/75,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
3849,HC_DEEP,HC_DEEP,5,n4,SUB,3/200,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
3850,PASS,"HC_DEEP,HC_SINGLE",5,n0,PASS,1/4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3850,PASS,"HC_DEEP,HC_SINGLE",5,n1,PASS,1/4,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,
3850,PASS,"HC_DEEP,HC_SINGLE",5,n2,PASS,1/4,0,0,3,0,0,2,1,0,1,0,0,0,0,0,0,
3850,PASS,"HC_DEEP,HC_SINGLE",5,n3,PASS,1/4,0,0,4,0,0,3,1,0,1,0,0,0,0,0,0,
3850,PASS,"HC_DEEP,HC_SINGLE",5,n4,PASS,1/4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3851,SHIFT,HC_SINGLE,3,n0,SHIFT,3/10,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
3851,SHIFT,HC_SINGLE,3,n1,SHIFT,3/10,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
3851,SHIFT,HC_SINGLE,3,n2,SHIFT,3/10,4,4,6,4,4,5,1,0,1,0,4,4,0,0,0,
3852,HASH,"HC_DEEP,HC_NONINT",6,n0,HASH,4/57,3,3,3,3,3,3,1,1,1,1,0,2,0,3,1,
3852,HASH,"HC_DEEP,HC_NONINT",6,n1,HASH,4/89,7,7,7,7,7,7,1,1,1,1,5,6,0,2,1,
3852,HASH,"HC_DEEP,HC_NONINT",6,n2,HASH,2/73,14,14,14,14,14,14,1,1,1,1,12,13,0,2,1,
3852,HASH,"HC_DEEP,HC_NONINT",6,n3,HASH,4/57,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
3852,HASH,"HC_DEEP,HC_NONINT",6,n4,HASH,4/57,3,3,3,3,3,3,1,1,1,1,0,2,0,3,1,
3852,HASH,"HC_DEEP,HC_NONINT",6,n5,HASH,2/73,12,12,12,12,12,12,1,1,1,1,12,12,0,0,0,
3853,ADD,,1,n0,ADD,1/100,33,33,33,33,33,33,1,1,1,1,0,33,0,33,0,
3854,SUB,,3,n0,SUB,7/300,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3854,SUB,,3,n1,SUB,1/40,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3854,SUB,,3,n2,SUB,3/200,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
3855,THETA,,1,n0,THETA,7/16,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
3856,NTHETA,HC_DEEP,4,n0,NTHETA,3/8,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3856,NTHETA,HC_DEEP,4,n1,NTHETA,7/10,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3856,NTHETA,HC_DEEP,4,n2,NTHETA,7/32,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3856,NTHETA,HC_DEEP,4,n3,NTHETA,21/64,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3857,AGSE,,3,n0,AGSE,1/4,2,2,3,2,2,2,1,0,1,0,0,2,0,2,0,
3857,AGSE,,3,n1,AGSE,1/9,5,5,6,5,5,5,1,0,1,0,0,5,0,5,0,
3857,AGSE,,3,n2,AGSE,3/16,4,4,6,4,4,5,1,0,1,0,3,4,0,1,0,
3858,REDUCE,HC_SINGLE,1,n0,REDUCE,1/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3859,HC_NONINT,HC_NONINT,3,n0,HASH,1/5,4,4,5,4,4,4,1,0,1,0,0,4,0,4,0,
3859,HC_NONINT,HC_NONINT,3,n1,SHIFT,1,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
3859,HC_NONINT,HC_NONINT,3,n2,HASH,1/6,5,5,7,5,5,6,1,0,1,0,5,5,0,0,0,
3860,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n0,HASH,2/13,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
3860,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n1,SHIFT,2/13,10,10,11,10,10,10,1,0,1,0,10,10,0,0,0,
3860,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n2,HASH,2/21,17,17,18,17,17,18,1,0,1,1,17,17,0,0,0,
3860,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n3,HASH,2/29,24,24,25,24,24,25,1,0,1,1,24,24,0,0,0,
3860,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n4,AGSE,4/39,17,17,19,17,17,19,1,0,1,1,15,17,0,2,0,
3861,HC_INT,"HC_DEEP,HC_INT,HC_NONINT",5,n0,PASS,2/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3861,HC_INT,"HC_DEEP,HC_INT,HC_NONINT",5,n1,HASH,4/35,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
3861,HC_INT,"HC_DEEP,HC_INT,HC_NONINT",5,n2,PASS,4/25,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3861,HC_INT,"HC_DEEP,HC_INT,HC_NONINT",5,n3,HASH,2/25,1,1,4,1,1,3,1,0,1,0,0,1,0,1,0,
3861,HC_INT,"HC_DEEP,HC_INT,HC_NONINT",5,n4,SUB,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3862,HC_SINGLE,HC_SINGLE,3,n0,REDUCE,1/16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3862,HC_SINGLE,HC_SINGLE,3,n1,PASS,1/16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3862,HC_SINGLE,HC_SINGLE,3,n2,PASS,1/16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3863,HC_DEEP,HC_DEEP,6,n0,NTHETA,21/32,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3863,HC_DEEP,HC_DEEP,6,n1,SHIFT,147/1000,5,5,6,5,5,5,1,0,1,0,5,5,0,0,0,
3863,HC_DEEP,HC_DEEP,6,n2,SUB,7/4,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3863,HC_DEEP,HC_DEEP,6,n3,AGSE,9/32,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
3863,HC_DEEP,HC_DEEP,6,n4,REDUCE,21/32,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3863,HC_DEEP,HC_DEEP,6,n5,REDUCE,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3864,PASS,HC_DEEP,4,n0,PASS,1/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3864,PASS,HC_DEEP,4,n1,PASS,1/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3864,PASS,HC_DEEP,4,n2,PASS,4/25,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3864,PASS,HC_DEEP,4,n3,PASS,4/25,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3865,SHIFT,,3,n0,SHIFT,1/2,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
3865,SHIFT,,3,n1,SHIFT,1,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
3865,SHIFT,,3,n2,SHIFT,1/2,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
3866,HASH,HC_NONINT,2,n0,HASH,1/18,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
3866,HASH,HC_NONINT,2,n1,HASH,1/26,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
3867,ADD,HC_DEEP,4,n0,ADD,1/10,3,3,3,3,3,3,1,1,1,1,0,3,0,3,0,
3867,ADD,HC_DEEP,4,n1,ADD,1/10,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
3867,ADD,HC_DEEP,4,n2,ADD,1/10,3,3,3,3,3,3,1,1,1,1,0,3,0,3,0,
3867,ADD,HC_DEEP,4,n3,ADD,1/10,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
3868,SUB,HC_DEEP,6,n0,SUB,147/500,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3868,SUB,HC_DEEP,6,n1,SUB,5/3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3868,SUB,HC_DEEP,6,n2,SUB,441/2000,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
3868,SUB,HC_DEEP,6,n3,SUB,40/9,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3868,SUB,HC_DEEP,6,n4,SUB,40/9,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,
3868,SUB,HC_DEEP,6,n5,SUB,441/1000,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
3869,THETA,,2,n0,THETA,1029/4000,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
3869,THETA,,2,n1,THETA,1029/2000,2,1,1,2,2,2,0,0,0,0,1,2,0,0,-1,
3870,NTHETA,,1,n0,NTHETA,3/16,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3871,AGSE,HC_DEEP,6,n0,AGSE,1/400,6,6,7,6,6,6,1,0,1,0,0,6,0,6,0,
3871,AGSE,HC_DEEP,6,n1,AGSE,1/2,2,2,2,2,2,2,1,1,1,1,0,2,0,2,0,
3871,AGSE,HC_DEEP,6,n2,AGSE,1/400,6,6,8,6,6,7,1,0,1,0,6,6,0,0,0,
3871,AGSE,HC_DEEP,6,n3,AGSE,3/8,4,4,4,4,4,4,1,1,1,1,3,4,0,1,0,
3871,AGSE,HC_DEEP,6,n4,AGSE,1/400,9,9,12,9,9,11,1,0,1,0,6,9,0,3,0,
3871,AGSE,HC_DEEP,6,n5,AGSE,1/1600,42,42,55,42,42,54,1,0,1,0,36,42,0,6,0,
3872,REDUCE,HC_SINGLE,1,n0,REDUCE,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3873,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",4,n0,SHIFT,1/5,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
3873,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",4,n1,HASH,4/45,5,5,7,5,5,7,1,0,1,1,3,5,0,2,0,
3873,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",4,n2,SHIFT,1/5,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
3873,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",4,n3,AGSE,3/10,1,1,2,1,1,2,1,0,1,1,1,1,0,0,0,
3874,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n0,SHIFT,1/16,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
3874,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n1,HASH,3/58,12,11,13,12,12,13,0,0,0,1,10,11,0,1,0,
3874,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n2,SUB,6/5,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3874,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n3,HASH,3/68,17,15,17,17,15,18,0,1,1,0,13,14,0,2,1,
3874,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n4,AGSE,1/12,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
3875,HC_INT,HC_INT,3,n0,PASS,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3875,HC_INT,HC_INT,3,n1,HASH,1/10,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
3875,HC_INT,HC_INT,3,n2,SHIFT,1/2,1,1,2,1,1,1,1,0,1,0,1,1,1,0,0,1
3876,HC_SINGLE,HC_SINGLE,3,n0,SHIFT,3/8,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
3876,HC_SINGLE,HC_SINGLE,3,n1,REDUCE,3/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3876,HC_SINGLE,HC_SINGLE,3,n2,PASS,3/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3877,HC_DEEP,HC_DEEP,4,n0,AGSE,8/9,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
3877,HC_DEEP,HC_DEEP,4,n1,SHIFT,2/3,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
3877,HC_DEEP,HC_DEEP,4,n2,ADD,2/3,2,2,4,2,2,3,1,0,1,0,2,2,0,0,0,
3877,HC_DEEP,HC_DEEP,4,n3,SUB,4/3,1,1,2,1,1,2,1,0,1,1,1,1,0,0,0,
3878,PASS,HC_DEEP,4,n0,PASS,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3878,PASS,HC_DEEP,4,n1,PASS,1/10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3878,PASS,HC_DEEP,4,n2,PASS,2/3,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,
3878,PASS,HC_DEEP,4,n3,PASS,2/3,0,0,3,0,0,2,1,0,1,0,0,0,0,0,0,
3879,SHIFT,,3,n0,SHIFT,3/10,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
3879,SHIFT,,3,n1,SHIFT,3/10,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
3879,SHIFT,,3,n2,SHIFT,3/10,9,9,11,9,9,10,1,0,1,0,9,9,0,0,0,
3880,HASH,"HC_DEEP,HC_NONINT",4,n0,HASH,2/37,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
3880,HASH,"HC_DEEP,HC_NONINT",4,n1,HASH,2/69,4,4,4,4,4,4,1,1,1,1,4,4,0,0,0,
3880,HASH,"HC_DEEP,HC_NONINT",4,n2,HASH,2/37,8,8,8,8,8,8,1,1,1,1,0,7,0,8,1,
3880,HASH,"HC_DEEP,HC_NONINT",4,n3,HASH,1/21,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
3881,ADD,HC_DEEP,5,n0,ADD,1/8,2,2,2,2,2,2,1,1,1,1,0,2,0,2,0,
3881,ADD,HC_DEEP,5,n1,ADD,1/8,2,2,2,2,2,2,1,1,1,1,0,2,0,2,0,
3881,ADD,HC_DEEP,5,n2,ADD,1/8,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
3881,ADD,HC_DEEP,5,n3,ADD,1/8,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
3881,ADD,HC_DEEP,5,n4,ADD,1/8,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
3882,SUB,HC_DEEP,4,n0,SUB,8/3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3882,SUB,HC_DEEP,4,n1,SUB,25/16,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3882,SUB,HC_DEEP,4,n2,SUB,35/24,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3882,SUB,HC_DEEP,4,n3,SUB,8/3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3883,THETA,,1,n0,THETA,7/6,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
3884,NTHETA,HC_DEEP,6,n0,NTHETA,5/4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3884,NTHETA,HC_DEEP,6,n1,NTHETA,15/8,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3884,NTHETA,HC_DEEP,6,n2,NTHETA,16/15,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3884,NTHETA,HC_DEEP,6,n3,NTHETA,25/12,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3884,NTHETA,HC_DEEP,6,n4,NTHETA,45/8,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3884,NTHETA,HC_DEEP,6,n5,NTHETA,125/36,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
3885,AGSE,,3,n0,AGSE,4/25,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
3885,AGSE,,3,n1,AGSE,2/25,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
3885,AGSE,,3,n2,AGSE,2/25,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
3886,REDUCE,HC_SINGLE,1,n0,REDUCE,1/2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3887,HC_NONINT,"HC_DEEP,HC_NONINT",6,n0,PASS,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3887,HC_NONINT,"HC_DEEP,HC_NONINT",6,n1,AGSE,3/2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3887,HC_NONINT,"HC_DEEP,HC_NONINT",6,n2,AGSE,3/2,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
3887,HC_NONINT,"HC_DEEP,HC_NONINT",6,n3,HASH,3/5,2,2,4,2,2,4,1,0,1,1,0,1,0,2,1,
3887,HC_NONINT,"HC_DEEP,HC_NONINT",6,n4,AGSE,9/10,2,2,4,2,2,4,1,0,1,1,2,2,0,0,0,
3887,HC_NONINT,"HC_DEEP,HC_NONINT",6,n5,SHIFT,3/2,4,4,6,4,4,5,1,0,1,0,4,4,0,0,0,
3888,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n0,HASH,2/21,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
3888,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n1,AGSE,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3888,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n2,SHIFT,1/8,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
3888,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n3,SHIFT,1/8,6,6,8,6,6,7,1,0,1,0,6,6,0,0,0,
3888,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n4,SUB,6/5,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3888,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n5,HASH,1/16,3,3,6,3,3,5,1,0,1,0,2,3,0,1,0,
3889,HC_INT,HC_INT,1,n0,HASH,1/10,1,1,2,1,1,1,1,0,1,0,0,1,1,1,0,1
3890,HC_SINGLE,HC_SINGLE,1,n0,SHIFT,1/100,5,5,6,5,5,5,1,0,1,0,5,5,0,0,0,
3891,HC_DEEP,"HC_DEEP,HC_NONINT",6,n0,HASH,49/464,4,4,4,4,4,4,1,1,1,1,0,3,0,4,1,
3891,HC_DEEP,"HC_DEEP,HC_NONINT",6,n1,SUB,147/464,2,1,1,2,2,2,0,0,0,0,2,2,0,-1,-1,
3891,HC_DEEP,"HC_DEEP,HC_NONINT",6,n2,SHIFT,1/10,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
3891,HC_DEEP,"HC_DEEP,HC_NONINT",6,n3,AGSE,49/1392,16,16,17,16,16,16,1,0,1,0,12,16,0,4,0,
3891,HC_DEEP,"HC_DEEP,HC_NONINT",6,n4,HASH,3/38,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
3891,HC_DEEP,"HC_DEEP,HC_NONINT",6,n5,NTHETA,3/19,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,
3892,PASS,,1,n0,PASS,1/100,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
3893,SHIFT,"HC_DEEP,HC_SINGLE",4,n0,SHIFT,2/3,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
3893,SHIFT,"HC_DEEP,HC_SINGLE",4,n1,SHIFT,2/3,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
3893,SHIFT,"HC_DEEP,HC_SINGLE",4,n2,SHIFT,2/3,5,5,6,5,5,5,1,0,1,0,5,5,0,0,0,
3893,SHIFT,"HC_DEEP,HC_SINGLE",4,n3,SHIFT,2/3,10,10,12,10,10,11,1,0,1,0,10,10,0,0,0,
3894,HASH,"HC_DEEP,HC_NONINT",5,n0,HASH,20/157,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
3894,HASH,"HC_DEEP,HC_NONINT",5,n1,HASH,20/157,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
3894,HASH,"HC_DEEP,HC_NONINT",5,n2,HASH,10/141,6,6,6,6,6,6,1,1,1,1,4,5,0,2,1,
3894,HASH,"HC_DEEP,HC_NONINT",5,n3,HASH,20/157,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
3894,HASH,"HC_DEEP,HC_NONINT",5,n4,HASH,20/189,6,6,6,6,6,6,1,1,1,1,3,5,0,3,1,
3895,ADD,,2,n0,ADD,1/16,3,3,4,3,3,3,1,0,1,0,0,3,0,3,0,
3895,ADD,,2,n1,ADD,4/25,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
3896,SUB,HC_DEEP,5,n0,SUB,1/100,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
3896,SUB,HC_DEEP,5,n1,SUB,5/4,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3896,SUB,HC_DEEP,5,n2,SUB,35/12,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3896,SUB,HC_DEEP,5,n3,SUB,1/40,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
3896,SUB,HC_DEEP,5,n4,SUB,175/24,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
