plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
57,SHIFT,HC_DEEP,4,n3,SHIFT,4/25,5,5,6,5,5,5,1,0,1,0,5,5,0,0,0,
58,HASH,HC_NONINT,1,n0,HASH,1/14,2,2,2,2,2,2,1,1,1,1,0,1,1,2,1,2
59,ADD,HC_DEEP,6,n0,ADD,1/100,66,66,66,66,66,66,1,1,1,1,0,66,0,66,0,
59,ADD,HC_DEEP,6,n1,ADD,1/100,66,66,67,66,66,66,1,0,1,0,66,66,0,0,0,
59,ADD,HC_DEEP,6,n2,ADD,1/100,66,66,68,66,66,67,1,0,1,0,66,66,0,0,0,
59,ADD,HC_DEEP,6,n3,ADD,1/100,66,66,67,66,66,66,1,0,1,0,66,66,0,0,0,
59,ADD,HC_DEEP,6,n4,ADD,1/100,66,66,68,66,66,67,1,0,1,0,66,66,0,0,0,
59,ADD,HC_DEEP,6,n5,ADD,1/100,66,66,68,66,66,67,1,0,1,0,66,66,0,0,0,
60,SUB,HC_DEEP,5,n0,SUB,5/6,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
60,SUB,HC_DEEP,5,n1,SUB,3/4,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
60,SUB,HC_DEEP,5,n2,SUB,15/8,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
60,SUB,HC_DEEP,5,n3,SUB,4/5,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
60,SUB,HC_DEEP,5,n4,SUB,15/8,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,
61,THETA,HC_DEEP,5,n0,THETA,4/3,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
61,THETA,HC_DEEP,5,n1,THETA,16/15,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
61,THETA,HC_DEEP,5,n2,THETA,16/15,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
61,THETA,HC_DEEP,5,n3,THETA,32/15,2,1,1,2,2,2,0,0,0,0,1,2,0,0,-1,
61,THETA,HC_DEEP,5,n4,THETA,8/3,2,0,1,2,1,2,0,0,0,0,0,1,0,0,-1,
62,NTHETA,HC_DEEP,6,n0,NTHETA,1/12,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
62,NTHETA,HC_DEEP,6,n1,NTHETA,1/10,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
62,NTHETA,HC_DEEP,6,n2,NTHETA,3/16,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
62,NTHETA,HC_DEEP,6,n3,NTHETA,21/64,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
62,NTHETA,HC_DEEP,6,n4,NTHETA,63/64,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
62,NTHETA,HC_DEEP,6,n5,NTHETA,3/16,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
63,AGSE,HC_DEEP,4,n0,AGSE,1/6,2,2,3,2,2,2,1,0,1,0,0,2,0,2,0,
63,AGSE,HC_DEEP,4,n1,AGSE,1/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
63,AGSE,HC_DEEP,4,n2,AGSE,1/18,9,9,13,9,9,12,1,0,1,0,6,9,0,3,0,
63,AGSE,HC_DEEP,4,n3,AGSE,1/4,1,1,2,1,1,2,1,0,1,1,0,1,0,1,0,
64,REDUCE,,3,n0,REDUCE,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
64,REDUCE,,3,n1,REDUCE,2/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
64,REDUCE,,3,n2,REDUCE,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
65,HC_NONINT,HC_NONINT,3,n0,HASH,10/41,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
65,HC_NONINT,HC_NONINT,3,n1,SUB,6/5,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
65,HC_NONINT,HC_NONINT,3,n2,PASS,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
66,HC_SHIFT_UNDER_HASH,"HC_INT,HC_SHIFT_UNDER_HASH",3,n0,SHIFT,4/25,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
66,HC_SHIFT_UNDER_HASH,"HC_INT,HC_SHIFT_UNDER_HASH",3,n1,SHIFT,4/25,5,5,6,5,5,5,1,0,1,0,5,5,0,0,0,
66,HC_SHIFT_UNDER_HASH,"HC_INT,HC_SHIFT_UNDER_HASH",3,n2,HASH,2/25,10,10,13,10,10,12,1,0,1,0,10,10,1,0,0,1
67,HC_INT,HC_INT,2,n0,PASS,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
67,HC_INT,HC_INT,2,n1,HASH,1/3,1,1,3,1,1,2,1,0,1,0,0,1,1,1,0,1
68,HC_SINGLE,HC_SINGLE,1,n0,PASS,1/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
69,HC_DEEP,"HC_DEEP,HC_INT,HC_NONINT",4,n0,REDUCE,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
69,HC_DEEP,"HC_DEEP,HC_INT,HC_NONINT",4,n1,THETA,4/3,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
69,HC_DEEP,"HC_DEEP,HC_INT,HC_NONINT",4,n2,HASH,4/15,5,1,6,5,1,5,0,0,1,0,0,1,0,1,0,
69,HC_DEEP,"HC_DEEP,HC_INT,HC_NONINT",4,n3,HASH,4/15,9,4,10,9,4,9,0,0,1,0,0,4,0,4,0,
70,PASS,,2,n0,PASS,4/25,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
70,PASS,,2,n1,PASS,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
71,SHIFT,,3,n0,SHIFT,1/2,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
71,SHIFT,,3,n1,SHIFT,1/8,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
71,SHIFT,,3,n2,SHIFT,1/8,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
72,HASH,"HC_DEEP,HC_NONINT",6,n0,HASH,2/7,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
72,HASH,"HC_DEEP,HC_NONINT",6,n1,HASH,1/6,6,5,6,6,6,6,0,1,0,1,4,5,0,1,0,
72,HASH,"HC_DEEP,HC_NONINT",6,n2,HASH,2/9,4,4,5,4,4,4,1,0,1,0,3,4,0,1,0,
