case,profile,rep,scale,f_phi_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W2_Q01,ALGSTRUCT,4,6,90,684,0,138470,273220,299830,94777270,41338,203083,395792,417279,444657,20344,32,275367,1500,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6065
W2_Q08,OFF,7,6,90,684,0,643113,917230,933342,383471604,29725,723659,1048508,1059169,1059654,20340,63,461643,1685,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6071
W2_Q01,ALGSTRUCT,10,6,90,684,0,135610,264848,291645,93001354,39187,200427,383138,393552,433117,20340,32,276461,1129,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6065
W2_Q01,OFF,9,6,90,684,0,143794,327996,363867,100719946,38941,187320,450145,466195,527794,20340,34,197904,1667,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6065
W2_Q32,STRUCT_R1,2,6,90,684,0,2433695,2716655,2819136,1292580612,33790,2520335,2857899,2885644,2898062,20468,158,2245866,2980,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6100
W2_Q01,STRUCT_R1,12,6,90,684,0,137063,267442,296293,93001308,33777,200877,386629,400446,405819,20340,32,273495,1187,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6064
W2_Q32,OFF,15,6,90,684,0,2501435,2914542,2957930,1345889874,37271,2565089,3063786,3098769,3131506,20472,163,1581520,3314,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6106
W2_Q32,ALGSTRUCT,15,6,90,684,0,2451722,2715396,2817820,1303533101,33561,2537710,2853920,2886595,2900792,20468,158,2235863,3593,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6104
W2_Q01,STRUCT_R1,14,6,90,684,0,137165,268774,399180,94185892,40660,200676,396989,424057,438177,20340,32,275645,1222,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6064
W2_Q01,STRUCT_R1,15,6,90,684,0,140303,262664,292348,93421000,34151,203697,386535,410823,412810,20344,32,273238,1111,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6066
W2_Q08,STRUCT_R1,4,6,90,684,0,641492,812732,910750,359759739,39886,708102,933116,1002255,1042143,20340,61,578643,1517,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
W2_Q08,OFF,1,6,90,684,0,616372,887472,930379,373107913,37234,696193,1018813,1046632,1055190,20340,62,462421,1722,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
W2_Q01,OFF,13,6,90,684,0,142045,329663,341922,99880258,35002,189804,451629,464656,465574,20340,34,198608,1908,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6066
W2_Q32,OFF,2,6,90,684,0,2498139,2869190,2994115,1345705875,35352,2563694,3017499,3106238,3135230,20476,164,1580686,3223,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6093
W2_Q08,STRUCT,15,6,90,684,0,621687,886490,924934,373962642,32880,701152,1012295,1045955,1052256,20340,62,577234,1870,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6097
W2_Q08,STRUCT_R1,12,6,90,684,0,665826,837750,859009,368432560,38819,734269,964217,974434,991796,20340,62,581067,1686,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
W2_Q08,OFF,4,6,90,684,0,625679,895065,939693,380730073,34877,708341,1019975,1063950,1086232,20344,63,460162,2166,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
W2_Q01,OFF,5,6,90,684,0,145248,322441,332459,99065975,35929,186985,438962,454596,454726,20340,34,197201,1500,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6065
W2_Q32,STRUCT,10,6,90,684,0,2494324,2863006,3092855,1350387208,45625,2582616,2991951,3100553,3273988,20472,164,1900996,3557,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6107
W2_Q01,ALGSTRUCT,11,6,90,684,0,136730,276404,372959,94408655,44882,202458,400541,438241,513801,20344,33,272830,1278,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6065
W2_Q32,ALGSTRUCT,4,6,90,684,0,2443325,2710618,2790025,1299961917,33145,2531813,2853317,2915644,2956937,20472,158,2232697,3334,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6093
W2_Q32,STRUCT_R1,9,6,90,684,0,2524166,2795951,2820914,1323171114,31648,2605081,2948708,2964276,2965835,20472,160,2242809,3203,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6095
W2_Q08,ALGSTRUCT,9,6,90,684,0,653104,823583,843935,366892492,37082,723437,952235,965419,973937,20340,61,586419,1704,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q32,ALGSTRUCT,11,6,90,684,0,2453112,2744674,2791006,1305401390,36518,2540161,2881602,2920059,2924175,20472,159,2255272,3537,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6106
W2_Q08,ALGSTRUCT,11,6,90,684,0,668900,844176,870306,370818020,32534,737045,972654,985612,1013290,20340,62,578901,1556,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
W2_Q01,STRUCT_R1,3,6,90,684,0,137137,265737,287701,93209871,37132,199874,386211,395143,398582,20344,32,270869,1221,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6066
W2_Q32,STRUCT,1,6,90,684,0,2533370,2887802,3000597,1367475606,31551,2621500,3017506,3062985,3064077,20472,165,1900184,3314,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6106
W2_Q32,STRUCT,5,6,90,684,0,2479880,2837246,2930153,1333111407,34333,2546328,2986628,3077964,3109336,20472,161,1902237,3334,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6106
W2_Q32,STRUCT,6,6,90,684,0,2485491,2825877,2884413,1333706794,32291,2549621,2969916,3003326,3029362,20472,162,1904201,3296,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6108
W2_Q32,ALGSTRUCT,14,6,90,684,0,2492445,2760896,2950968,1314431490,32784,2542601,2879424,3002459,3044712,20472,159,2261642,3407,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6102
