plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
996,HASH,n1,1/5,1/4,2,0,2,2
1003,HC_NONINT,n1,147/1000,1/4,3,0,3,3
1010,HASH,n0,147/1000,1/8,2,0,2,2
1017,HC_NONINT,n2,147/1000,2/5,4,0,4,4
1019,HC_INT,n0,1,1/4,1,0,1,1
1024,HASH,n0,1/3,1/5,2,0,2,2
1033,HC_INT,n0,2/5,1/8,2,0,2,2
1038,HASH,n0,2/5,1/3,2,0,2,2
1038,HASH,n1,2/5,1/3,2,0,2,2
1045,HC_NONINT,n2,1/10,1/3,4,0,4,4
1045,HC_NONINT,n3,1/3,1/10,2,0,2,2
1047,HC_INT,n1,2/5,1/2,2,0,2,2
1047,HC_INT,n2,1/100,2/5,40,0,40,40
1052,HASH,n0,1/4,1/100,1,0,1,1
1059,HC_NONINT,n1,2/3,147/1000,2,0,2,2
1060,HC_SHIFT_UNDER_HASH,n0,1/8,3/10,4,0,4,4
1066,HASH,n0,4/25,3/8,4,0,4,4
1066,HASH,n1,4/25,3/8,4,0,4,4
1073,HC_NONINT,n0,3/8,2/5,2,0,2,2
1073,HC_NONINT,n1,2/5,3/8,2,0,2,2
1080,HASH,n0,1/10,3/10,3,0,3,3
1080,HASH,n1,3/10,1/10,1,0,1,1
1094,HASH,n0,1/2,1/3,2,0,2,2
1101,HC_NONINT,n0,4/25,3/10,3,0,3,3
1102,HC_SHIFT_UNDER_HASH,n0,3/10,2/3,4,0,4,4
1103,HC_INT,n0,1/4,1/16,1,0,1,1
1105,HC_DEEP,n1,1/3,5/8,3,0,3,3
1108,HASH,n0,1/10,1/100,1,0,1,1
1108,HASH,n1,1/100,1/10,10,0,10,10
1108,HASH,n3,4/25,1/10,2,0,2,2
1119,HC_DEEP,n1,1,2/5,2,0,2,2
1122,HASH,n0,1/3,1/16,2,0,2,2
1130,HC_SHIFT_UNDER_HASH,n1,4/25,2/5,3,0,3,3
1131,HC_INT,n0,1/3,5/8,3,0,3,3
1136,HASH,n0,3/10,4/25,2,0,2,2
1143,HC_NONINT,n0,147/1000,1/100,2,0,2,2
1150,HASH,n0,1/5,1/8,2,0,2,2
1159,HC_INT,n0,1,1/4,1,0,1,1
1164,HASH,n0,147/1000,1/10,2,0,2,2
1171,HC_NONINT,n2,1/5,2/5,2,0,2,2
1178,HASH,n0,3/10,1/100,1,0,1,1
1185,HC_NONINT,n0,5/8,1/3,2,0,2,2
1186,HC_SHIFT_UNDER_HASH,n4,4/25,147/1000,2,0,2,2
1187,HC_INT,n0,3/8,3/8,1,0,1,1
1192,HASH,n0,1/2,2/5,2,0,2,2
1192,HASH,n1,1/2,2/5,2,0,2,2
1199,HC_NONINT,n1,1/4,1/3,2,0,2,2
1206,HASH,n0,1/100,3/8,38,0,38,38
1206,HASH,n1,1/100,3/8,38,0,38,38
1213,HC_NONINT,n2,3/10,2/3,4,0,4,4
1214,HC_SHIFT_UNDER_HASH,n2,1/8,2/3,6,0,6,6
1215,HC_INT,n3,1/3,147/1000,2,0,2,2
1220,HASH,n0,3/10,5/8,3,0,3,3
1227,HC_NONINT,n0,3/8,1/3,2,0,2,2
1227,HC_NONINT,n2,3/8,1/3,2,0,2,2
1234,HASH,n0,1/5,147/1000,2,0,2,2
1234,HASH,n1,147/1000,4/25,3,0,3,3
1241,HC_NONINT,n0,5/8,3/10,2,0,2,2
1241,HC_NONINT,n2,5/8,3/10,2,0,2,2
1245,HC_DEEP,n0,1/16,3/10,6,0,6,6
1248,HASH,n0,3/8,1/100,2,0,2,2
1255,HC_NONINT,n2,3/10,1/2,3,0,3,3
1256,HC_SHIFT_UNDER_HASH,n2,4/25,5/8,5,0,5,5
1257,HC_INT,n0,1,1/16,1,0,1,1
1262,HASH,n0,1/100,4/25,16,0,16,16
1269,HC_NONINT,n2,2/5,4/25,2,0,2,2
1273,HC_DEEP,n2,2/3,1,2,0,2,2
1276,HASH,n0,5/8,147/1000,2,0,2,2
1276,HASH,n1,5/8,147/1000,2,0,2,2
1290,HASH,n0,1/100,2/3,68,0,68,68
