plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
4335,HC_NONINT,n0,3/8,1/100,2,0,2,2
4335,HC_NONINT,n1,3/8,2/5,2,0,2,2
4342,HASH,n0,1/100,1/4,25,0,25,25
4349,HC_NONINT,n0,1/8,2/5,4,0,4,4
4353,HC_DEEP,n0,1/3,5/8,3,0,3,3
4353,HC_DEEP,n2,1/3,5/8,3,0,3,3
4356,HASH,n0,1/2,1/16,1,0,1,1
4370,HASH,n0,1/5,1/3,3,0,3,3
4379,HC_INT,n2,5/8,5/8,1,0,1,1
4384,HASH,n0,1/3,2/5,2,0,2,2
4391,HC_NONINT,n0,2/5,1/2,2,0,2,2
4391,HC_NONINT,n1,2/5,1/8,2,0,2,2
4393,HC_INT,n0,3/10,1/100,1,0,1,1
4398,HASH,n0,1,1/2,1,0,1,1
4405,HC_NONINT,n0,1/8,3/8,3,0,3,3
4407,HC_INT,n0,1/100,1/100,1,0,1,1
4412,HASH,n0,1,1/10,1,0,1,1
4426,HASH,n0,147/1000,2/5,4,0,4,4
4426,HASH,n1,2/5,147/1000,2,0,2,2
4433,HC_NONINT,n0,1/16,1/3,6,0,6,6
4435,HC_INT,n0,1/10,1/8,2,0,2,2
4440,HASH,n0,3/10,1,4,0,4,4
4440,HASH,n2,1,3/10,2,0,2,2
4447,HC_NONINT,n0,1/3,2/5,2,0,2,2
4449,HC_INT,n1,1/100,3/10,30,0,30,30
4449,HC_INT,n3,4/25,1/100,1,0,1,1
4454,HASH,n0,1/8,2/5,4,0,4,4
4454,HASH,n2,2/5,1/8,2,0,2,2
4461,HC_NONINT,n0,4/25,2/5,3,0,3,3
4468,HASH,n0,1/3,1/4,2,0,2,2
4468,HASH,n1,1/3,1/4,2,0,2,2
4475,HC_NONINT,n1,1/3,3/10,2,0,2,2
4477,HC_INT,n0,1/16,1/16,1,0,1,1
4479,HC_DEEP,n3,1/5,5/8,4,0,4,4
4482,HASH,n0,1/100,1/16,7,0,7,7
4493,HC_DEEP,n0,1/8,1/2,4,0,4,4
4493,HC_DEEP,n3,1/8,1/2,4,0,4,4
4496,HASH,n0,147/1000,2/3,6,0,6,6
4503,HC_NONINT,n1,5/8,147/1000,2,0,2,2
4505,HC_INT,n2,1/2,1/100,1,0,1,1
4510,HASH,n0,1/10,3/10,3,0,3,3
4510,HASH,n4,3/10,1/10,1,0,1,1
4517,HC_NONINT,n0,1/10,3/10,3,0,3,3
4524,HASH,n0,1/8,1/8,1,0,1,1
4531,HC_NONINT,n0,1/5,3/10,2,0,2,2
4538,HASH,n0,3/8,2/5,2,0,2,2
4538,HASH,n1,1/3,2/5,2,0,2,2
4545,HC_NONINT,n0,4/25,2/3,5,0,5,5
4547,HC_INT,n0,3/10,3/10,1,0,1,1
4547,HC_INT,n1,3/10,3/10,1,0,1,1
4547,HC_INT,n3,3/10,3/10,1,0,1,1
4552,HASH,n0,1/4,1/2,2,0,2,2
4566,HASH,n0,1/3,1/16,2,0,2,2
4574,HC_SHIFT_UNDER_HASH,n3,1/3,4/25,2,0,2,2
4580,HASH,n0,2/5,1/4,2,0,2,2
4587,HC_NONINT,n0,1/3,1/5,2,0,2,2
4589,HC_INT,n0,1/2,1/16,1,0,1,1
4594,HASH,n0,3/10,1/100,1,0,1,1
4594,HASH,n1,4/25,3/10,3,0,3,3
4601,HC_NONINT,n0,1/10,5/8,7,0,7,7
4603,HC_INT,n1,1/2,1/10,1,0,1,1
4608,HASH,n0,3/8,1,4,0,4,4
4615,HC_NONINT,n1,5/8,3/10,2,0,2,2
4622,HASH,n0,1/4,4/25,2,0,2,2
4629,HC_NONINT,n0,3/8,147/1000,2,0,2,2
4631,HC_INT,n0,4/25,1/100,1,0,1,1
4636,HASH,n0,1/100,5/8,63,0,63,63
4636,HASH,n5,1,1/100,1,0,1,1
4643,HC_NONINT,n0,1/100,1,100,0,100,100
4650,HASH,n0,147/1000,147/1000,1,0,1,1
4650,HASH,n1,147/1000,147/1000,1,0,1,1
4650,HASH,n2,147/1000,147/1000,1,0,1,1
4657,HC_NONINT,n1,147/1000,1/5,3,0,3,3
4658,HC_SHIFT_UNDER_HASH,n0,1/2,1/100,1,0,1,1
4659,HC_INT,n0,2/5,2/5,1,0,1,1
4664,HASH,n0,2/3,3/8,2,0,2,2
4664,HASH,n1,2/3,3/8,2,0,2,2
4671,HC_NONINT,n0,1/8,1/2,4,0,4,4
4673,HC_INT,n0,2/3,2/3,1,0,1,1
4678,HASH,n0,1/2,1/5,2,0,2,2
4685,HC_NONINT,n0,1,3/8,2,0,2,2
4692,HASH,n0,1/10,5/8,7,0,7,7
4699,HC_NONINT,n0,2/3,4/25,2,0,2,2
4703,HC_DEEP,n5,1/5,1/16,2,0,2,2
4706,HASH,n0,1/16,147/1000,4,0,4,4
4715,HC_INT,n0,1/8,1/8,1,0,1,1
4715,HC_INT,n1,1/10,1/8,2,0,2,2
4717,HC_DEEP,n0,2/3,3/8,2,0,2,2
4717,HC_DEEP,n1,3/8,2/3,3,0,3,3
4720,HASH,n0,1/5,5/8,4,0,4,4
4727,HC_NONINT,n1,1/8,4/25,3,0,3,3
4731,HC_DEEP,n0,1/10,1/3,4,0,4,4
4734,HASH,n0,2/3,1/10,2,0,2,2
4741,HC_NONINT,n2,1/3,2/3,2,0,2,2
4743,HC_INT,n0,1/16,1,16,0,16,16
4748,HASH,n0,1,1/3,1,0,1,1
4755,HC_NONINT,n0,1/16,2/3,12,0,12,12
4756,HC_SHIFT_UNDER_HASH,n3,1/5,147/1000,2,0,2,2
4762,HASH,n0,1,3/10,2,0,2,2
4762,HASH,n1,3/10,1,4,0,4,4
4769,HC_NONINT,n0,5/8,1/2,2,0,2,2
4770,HC_SHIFT_UNDER_HASH,n2,147/1000,1/2,5,0,5,5
4776,HASH,n0,1/4,2/5,3,0,3,3
4776,HASH,n1,1/4,2/5,3,0,3,3
4776,HASH,n3,1/5,1/4,2,0,2,2
4785,HC_INT,n0,1/4,1/100,1,0,1,1
4790,HASH,n0,1/4,1/8,1,0,1,1
4804,HASH,n0,3/8,4/25,2,0,2,2
4804,HASH,n1,1/8,4/25,3,0,3,3
4811,HC_NONINT,n2,1/10,1/8,2,0,2,2
4818,HASH,n0,2/3,1/3,1,0,1,1
4825,HC_NONINT,n2,3/10,1/5,2,0,2,2
4826,HC_SHIFT_UNDER_HASH,n0,2/5,1/8,2,0,2,2
4832,HASH,n0,3/10,3/10,1,0,1,1
4841,HC_INT,n5,2/5,2/5,1,0,1,1
4843,HC_DEEP,n1,2/3,3/10,2,0,2,2
4846,HASH,n0,147/1000,1/10,2,0,2,2
4853,HC_NONINT,n0,1/4,3/8,2,0,2,2
4854,HC_SHIFT_UNDER_HASH,n0,1/4,147/1000,2,0,2,2
4855,HC_INT,n0,1/16,3/8,6,0,6,6
4860,HASH,n0,1/16,1/4,4,0,4,4
4860,HASH,n2,3/8,1/16,1,0,1,1
4867,HC_NONINT,n0,2/5,2/3,3,0,3,3
4869,HC_INT,n1,3/10,1/100,1,0,1,1
4874,HASH,n0,1/10,147/1000,3,0,3,3
4888,HASH,n0,1/16,1/5,4,0,4,4
4888,HASH,n1,1/3,1/16,2,0,2,2
4895,HC_NONINT,n0,1,2/5,2,0,2,2
4897,HC_INT,n1,2/3,5/8,2,0,2,2
4902,HASH,n0,1/4,1/8,1,0,1,1
4916,HASH,n0,2/3,4/25,2,0,2,2
4925,HC_INT,n0,1/5,1/10,1,0,1,1
4930,HASH,n0,3/10,1/16,2,0,2,2
4930,HASH,n1,3/10,1/16,2,0,2,2
4930,HASH,n2,1/16,3/10,6,0,6,6
4939,HC_INT,n3,1/16,1/16,1,0,1,1
4944,HASH,n0,147/1000,1,8,0,8,8
4951,HC_NONINT,n0,1/100,2/3,68,0,68,68
4953,HC_INT,n0,2/3,2/3,1,0,1,1
4958,HASH,n0,1/5,147/1000,2,0,2,2
4958,HASH,n2,1/5,147/1000,2,0,2,2
4967,HC_INT,n0,3/10,3/10,1,0,1,1
4967,HC_INT,n1,3/10,3/10,1,0,1,1
4972,HASH,n0,1,147/1000,2,0,2,2
4972,HASH,n2,147/1000,1,8,0,8,8
4980,HC_SHIFT_UNDER_HASH,n0,2/5,147/1000,2,0,2,2
4981,HC_INT,n1,1/8,1/16,1,0,1,1
4986,HASH,n0,1/16,2/5,8,0,8,8
4986,HASH,n1,1/16,2/5,8,0,8,8
4993,HC_NONINT,n0,1/10,1/4,3,0,3,3
4994,HC_SHIFT_UNDER_HASH,n1,1/10,1/5,2,0,2,2
4995,HC_INT,n0,1/4,1/16,1,0,1,1
5000,HASH,n0,1/10,147/1000,3,0,3,3
5007,HC_NONINT,n0,147/1000,3/8,4,0,4,4
5014,HASH,n0,1/10,147/1000,3,0,3,3
5021,HC_NONINT,n0,1/8,1/2,4,0,4,4
5022,HC_SHIFT_UNDER_HASH,n0,1/2,1/10,1,0,1,1
5028,HASH,n0,1/100,1/2,50,0,50,50
5035,HC_NONINT,n0,1/2,1/3,2,0,2,2
5037,HC_INT,n4,2/3,2/3,1,0,1,1
5042,HASH,n0,1/10,147/1000,3,0,3,3
5049,HC_NONINT,n2,1/2,1/2,1,0,1,1
5049,HC_NONINT,n3,2/5,1/2,2,0,2,2
5051,HC_INT,n1,1/2,1/8,1,0,1,1
5051,HC_INT,n5,1/16,1/8,2,0,2,2
5056,HASH,n0,1/4,1/2,2,0,2,2
5070,HASH,n0,3/8,5/8,3,0,3,3
5070,HASH,n1,3/8,5/8,3,0,3,3
5077,HC_NONINT,n0,3/8,1/3,2,0,2,2
5084,HASH,n0,1/4,147/1000,2,0,2,2
5084,HASH,n1,147/1000,1/4,3,0,3,3
5084,HASH,n2,147/1000,1/4,3,0,3,3
5091,HC_NONINT,n0,1/5,147/1000,2,0,2,2
5093,HC_INT,n2,1,1/100,1,0,1,1
5098,HASH,n0,1/5,1,5,0,5,5
5105,HC_NONINT,n0,2/5,2/3,3,0,3,3
5107,HC_INT,n0,5/8,1/8,1,0,1,1
5109,HC_DEEP,n0,1/2,1/10,1,0,1,1
5109,HC_DEEP,n1,1/2,2/5,2,0,2,2
5112,HASH,n0,3/8,5/8,3,0,3,3
5112,HASH,n1,5/8,3/8,2,0,2,2
5121,HC_INT,n1,1/4,1/2,2,0,2,2
5121,HC_INT,n2,1/2,1/4,1,0,1,1
5126,HASH,n0,4/25,1/2,4,0,4,4
5133,HC_NONINT,n0,3/10,5/8,3,0,3,3
5140,HASH,n0,3/10,2/5,2,0,2,2
5140,HASH,n1,3/10,2/5,2,0,2,2
5140,HASH,n3,2/5,1/2,2,0,2,2
5147,HC_NONINT,n0,1/8,1/5,3,0,3,3
5148,HC_SHIFT_UNDER_HASH,n0,147/1000,1/2,5,0,5,5
5149,HC_INT,n0,1/4,3/8,2,0,2,2
5154,HASH,n0,147/1000,1,8,0,8,8
5154,HASH,n1,1,147/1000,2,0,2,2
5163,HC_INT,n0,1/16,1/16,1,0,1,1
5168,HASH,n0,1/5,4/25,2,0,2,2
5168,HASH,n3,4/25,1/5,2,0,2,2
5175,HC_NONINT,n1,1/10,1,10,0,10,10
5182,HASH,n0,1/4,2/3,4,0,4,4
5193,HC_DEEP,n0,2/3,1/16,2,0,2,2
5196,HASH,n0,2/5,5/8,3,0,3,3
5196,HASH,n1,5/8,147/1000,2,0,2,2
5203,HC_NONINT,n1,1/10,2/5,4,0,4,4
5204,HC_SHIFT_UNDER_HASH,n0,2/3,1/8,2,0,2,2
5205,HC_INT,n0,1/8,1/16,1,0,1,1
5210,HASH,n0,1/5,1/8,2,0,2,2
5210,HASH,n1,1/8,1/8,1,0,1,1
5217,HC_NONINT,n0,1/16,2/5,8,0,8,8
5221,HC_DEEP,n5,2/3,147/1000,2,0,2,2
5224,HASH,n0,3/10,5/8,3,0,3,3
5224,HASH,n1,1/16,5/8,10,0,10,10
5224,HASH,n2,1/16,3/10,6,0,6,6
5224,HASH,n3,5/8,1/16,1,0,1,1
5238,HASH,n0,2/3,5/8,2,0,2,2
5245,HC_NONINT,n0,1/4,147/1000,2,0,2,2
5247,HC_INT,n1,1,1/16,1,0,1,1
5249,HC_DEEP,n0,1/100,147/1000,16,0,16,16
5252,HASH,n0,1,3/8,2,0,2,2
5261,HC_INT,n0,2/5,2/5,1,0,1,1
5266,HASH,n0,2/5,147/1000,2,0,2,2
5273,HC_NONINT,n0,3/10,1/2,3,0,3,3
5275,HC_INT,n1,1/2,1/16,1,0,1,1
5280,HASH,n0,1/100,1,100,0,100,100
5287,HC_NONINT,n0,2/5,147/1000,2,0,2,2
5291,HC_DEEP,n0,1/5,1/8,2,0,2,2
5294,HASH,n0,1/3,1,3,0,3,3
5301,HC_NONINT,n0,1/2,1/5,2,0,2,2
5303,HC_INT,n0,1/4,1/16,1,0,1,1
5308,HASH,n0,3/10,1/10,1,0,1,1
5308,HASH,n1,1/3,3/10,2,0,2,2
5315,HC_NONINT,n2,1/8,5/8,5,0,5,5
5322,HASH,n0,2/3,1/2,2,0,2,2
5322,HASH,n1,1/2,2/3,2,0,2,2
5330,HC_SHIFT_UNDER_HASH,n4,2/5,4/25,2,0,2,2
5331,HC_INT,n1,1/4,1/100,1,0,1,1
5336,HASH,n0,1/3,1/4,2,0,2,2
5343,HC_NONINT,n5,1/16,4/25,4,0,4,4
5344,HC_SHIFT_UNDER_HASH,n3,4/25,1/100,1,0,1,1
5350,HASH,n0,2/5,1/10,1,0,1,1
5350,HASH,n3,1/10,2/5,4,0,4,4
5361,HC_DEEP,n0,2/5,1/5,1,0,1,1
5364,HASH,n0,4/25,1/10,2,0,2,2
5364,HASH,n1,1/10,4/25,3,0,3,3
5371,HC_NONINT,n5,1/8,1/5,3,0,3,3
5372,HC_SHIFT_UNDER_HASH,n1,1/8,1/4,2,0,2,2
5373,HC_INT,n2,1,1,1,0,1,1
5378,HASH,n0,1/4,1/3,2,0,2,2
5378,HASH,n1,1/4,1/3,2,0,2,2
5386,HC_SHIFT_UNDER_HASH,n3,1/8,147/1000,3,0,3,3
5392,HASH,n0,1/100,3/8,38,0,38,38
5392,HASH,n1,1/100,3/8,38,0,38,38
5399,HC_NONINT,n0,1/2,147/1000,2,0,2,2
5406,HASH,n0,4/25,3/8,4,0,4,4
5406,HASH,n1,4/25,1/5,2,0,2,2
5420,HASH,n0,1/10,1/100,1,0,1,1
5427,HC_NONINT,n0,2/3,3/10,2,0,2,2
5434,HASH,n0,1,1/4,1,0,1,1
5443,HC_INT,n3,1/2,1/16,1,0,1,1
5448,HASH,n0,1/100,1/4,25,0,25,25
5455,HC_NONINT,n0,1/2,1/10,1,0,1,1
5455,HC_NONINT,n1,1/10,1/2,5,0,5,5
5457,HC_INT,n0,3/10,1/10,1,0,1,1
5462,HASH,n0,1/2,1,2,0,2,2
5469,HC_NONINT,n0,2/3,3/8,2,0,2,2
5471,HC_INT,n0,1/5,1/100,1,0,1,1
5476,HASH,n0,1/10,3/8,5,0,5,5
5476,HASH,n1,3/8,1/10,2,0,2,2
5483,HC_NONINT,n0,3/10,3/8,2,0,2,2
5485,HC_INT,n4,1,1/8,1,0,1,1
5487,HC_DEEP,n0,3/8,2/5,2,0,2,2
5490,HASH,n0,5/8,3/10,2,0,2,2
5490,HASH,n1,3/10,5/8,3,0,3,3
5497,HC_NONINT,n0,2/5,2/3,3,0,3,3
5499,HC_INT,n1,1,1/5,1,0,1,1
5504,HASH,n0,1/2,2/3,2,0,2,2
5504,HASH,n1,1/2,2/3,2,0,2,2
5518,HASH,n0,1/5,1/100,1,0,1,1
5518,HASH,n1,1/5,3/8,3,0,3,3
5518,HASH,n3,1/100,3/8,38,0,38,38
5532,HASH,n0,1/10,5/8,7,0,7,7
5541,HC_INT,n1,1/10,1/10,1,0,1,1
5546,HASH,n0,147/1000,3/8,4,0,4,4
5553,HC_NONINT,n1,147/1000,1/8,2,0,2,2
5557,HC_DEEP,n2,1/4,1/10,2,0,2,2
5560,HASH,n0,2/3,4/25,2,0,2,2
5567,HC_NONINT,n0,1/5,3/8,3,0,3,3
5569,HC_INT,n2,2/3,1/3,1,0,1,1
5574,HASH,n0,2/3,1/4,2,0,2,2
5581,HC_NONINT,n0,1/16,1/16,1,0,1,1
5583,HC_INT,n0,2/3,1/3,1,0,1,1
5588,HASH,n0,4/25,5/8,5,0,5,5
5602,HASH,n0,3/10,2/5,2,0,2,2
5602,HASH,n1,2/5,3/10,2,0,2,2
5610,HC_SHIFT_UNDER_HASH,n2,147/1000,5/8,6,0,6,6
5611,HC_INT,n1,1/2,1/10,1,0,1,1
5613,HC_DEEP,n0,3/10,2/3,4,0,4,4
5616,HASH,n0,147/1000,1/16,2,0,2,2
5616,HASH,n1,147/1000,1/16,2,0,2,2
5630,HASH,n0,4/25,2/5,3,0,3,3
5637,HC_NONINT,n0,1,2/5,2,0,2,2
5644,HASH,n0,3/8,5/8,3,0,3,3
5644,HASH,n1,3/8,5/8,3,0,3,3
5658,HASH,n0,1/2,1/2,1,0,1,1
5665,HC_NONINT,n1,1/4,4/25,2,0,2,2
5667,HC_INT,n1,3/10,1/100,1,0,1,1
5667,HC_INT,n3,3/10,1/100,1,0,1,1
5672,HASH,n0,3/10,3/8,2,0,2,2
5672,HASH,n1,3/8,3/10,2,0,2,2
5679,HC_NONINT,n1,1,2/5,2,0,2,2
5681,HC_INT,n0,3/10,1/100,1,0,1,1
5686,HASH,n0,2/5,1/8,2,0,2,2
5694,HC_SHIFT_UNDER_HASH,n1,1/100,1/10,10,0,10,10
5700,HASH,n0,1/5,4/25,2,0,2,2
5700,HASH,n1,1/5,4/25,2,0,2,2
5707,HC_NONINT,n1,147/1000,1/10,2,0,2,2
5709,HC_INT,n0,4/25,1/100,1,0,1,1
5714,HASH,n0,3/10,1/4,2,0,2,2
5722,HC_SHIFT_UNDER_HASH,n0,1/4,3/8,2,0,2,2
5723,HC_INT,n0,1/5,1/100,1,0,1,1
5728,HASH,n0,2/3,1/100,2,0,2,2
5735,HC_NONINT,n0,1/100,1/16,7,0,7,7
5737,HC_INT,n0,1/5,1/100,1,0,1,1
5737,HC_INT,n1,1/5,1/100,1,0,1,1
5742,HASH,n0,1,1/100,1,0,1,1
5749,HC_NONINT,n0,1/4,2/3,4,0,4,4
5756,HASH,n0,1/16,1/4,4,0,4,4
5764,HC_SHIFT_UNDER_HASH,n0,147/1000,1/10,2,0,2,2
5770,HASH,n0,5/8,5/8,1,0,1,1
5770,HASH,n2,5/8,5/8,1,0,1,1
5777,HC_NONINT,n0,1/10,2/5,4,0,4,4
5781,HC_DEEP,n0,2/5,1/16,2,0,2,2
5784,HASH,n0,5/8,1/8,1,0,1,1
5791,HC_NONINT,n0,5/8,147/1000,2,0,2,2
5793,HC_INT,n0,3/8,1/8,1,0,1,1
5798,HASH,n0,4/25,4/25,1,0,1,1
5805,HC_NONINT,n1,1/100,2/3,68,0,68,68
5806,HC_SHIFT_UNDER_HASH,n0,4/25,1/10,2,0,2,2
5812,HASH,n0,1/100,4/25,16,0,16,16
5812,HASH,n4,4/25,2/5,3,0,3,3
5819,HC_NONINT,n0,1/2,1/3,2,0,2,2
5826,HASH,n0,1,1/100,1,0,1,1
5840,HASH,n0,1,3/10,2,0,2,2
5840,HASH,n1,3/10,1,4,0,4,4
5847,HC_NONINT,n0,1/8,1/5,3,0,3,3
5854,HASH,n0,4/25,1/16,2,0,2,2
5854,HASH,n1,4/25,1/16,2,0,2,2
5861,HC_NONINT,n0,3/10,1/5,2,0,2,2
5861,HC_NONINT,n3,3/10,1/5,2,0,2,2
5863,HC_INT,n1,1/2,1/4,1,0,1,1
5868,HASH,n0,1/4,1/8,1,0,1,1
5868,HASH,n1,1/8,1/4,2,0,2,2
5868,HASH,n2,1/4,1/8,1,0,1,1
5875,HC_NONINT,n0,1/16,5/8,10,0,10,10
5882,HASH,n0,2/3,1/8,2,0,2,2
5882,HASH,n1,1/8,1/3,4,0,4,4
5889,HC_NONINT,n0,1/10,4/25,3,0,3,3
5891,HC_INT,n0,1/5,1/8,2,0,2,2
5896,HASH,n0,1/3,2/5,2,0,2,2
5903,HC_NONINT,n1,2/5,147/1000,2,0,2,2
5903,HC_NONINT,n2,147/1000,2/5,4,0,4,4
5910,HASH,n0,1,5/8,2,0,2,2
5910,HASH,n4,1,5/8,2,0,2,2
5917,HC_NONINT,n0,1/100,2/5,40,0,40,40
5919,HC_INT,n0,5/8,1/8,1,0,1,1
5924,HASH,n0,2/3,1/100,2,0,2,2
5924,HASH,n2,1/100,2/3,68,0,68,68
5931,HC_NONINT,n0,1/16,1,16,0,16,16
5933,HC_INT,n0,1,1/5,1,0,1,1
5938,HASH,n0,147/1000,3/10,4,0,4,4
5938,HASH,n1,3/10,147/1000,2,0,2,2
5945,HC_NONINT,n0,1/5,147/1000,2,0,2,2
5952,HASH,n0,1,1/5,1,0,1,1
5952,HASH,n1,1,1/5,1,0,1,1
5959,HC_NONINT,n0,3/10,4/25,2,0,2,2
5960,HC_SHIFT_UNDER_HASH,n0,1/3,1/4,2,0,2,2
5961,HC_INT,n1,3/8,2/3,3,0,3,3
5966,HASH,n0,1/3,4/25,2,0,2,2
5966,HASH,n1,4/25,1/3,3,0,3,3
5973,HC_NONINT,n4,147/1000,5/8,6,0,6,6
5975,HC_INT,n0,1/10,1/16,2,0,2,2
5980,HASH,n0,1/16,2/3,12,0,12,12
5980,HASH,n1,1/16,2/3,12,0,12,12
5987,HC_NONINT,n0,2/5,1,3,0,3,3
5989,HC_INT,n1,1,1/8,1,0,1,1
5994,HASH,n0,1/100,1/5,20,0,20,20
5994,HASH,n3,1/5,1/100,1,0,1,1
6001,HC_NONINT,n0,1/2,2/5,2,0,2,2
6003,HC_INT,n0,4/25,1/100,1,0,1,1
6008,HASH,n0,1,1/2,1,0,1,1
6015,HC_NONINT,n1,1/4,1/10,2,0,2,2
6022,HASH,n0,1/3,1,3,0,3,3
6029,HC_NONINT,n0,1/100,3/10,30,0,30,30
6036,HASH,n0,1/3,3/10,2,0,2,2
6036,HASH,n1,1/3,3/10,2,0,2,2
6036,HASH,n2,4/25,1/3,3,0,3,3
6045,HC_INT,n0,3/8,3/8,1,0,1,1
6047,HC_DEEP,n1,1/100,1/10,10,0,10,10
6050,HASH,n0,1/8,1/16,1,0,1,1
6059,HC_INT,n0,3/8,1/8,1,0,1,1
6064,HASH,n0,1/10,1/16,2,0,2,2
6064,HASH,n1,1/16,3/10,6,0,6,6
6071,HC_NONINT,n0,1/16,2/3,12,0,12,12
6078,HASH,n0,1/3,1/100,2,0,2,2
6078,HASH,n1,1/3,1/100,2,0,2,2
6078,HASH,n3,1/16,1/3,6,0,6,6
6092,HASH,n0,2/5,5/8,3,0,3,3
6092,HASH,n1,5/8,2/5,2,0,2,2
6106,HASH,n0,1/2,2/3,2,0,2,2
6106,HASH,n1,2/3,1,2,0,2,2
6113,HC_NONINT,n1,3/10,1/2,3,0,3,3
6120,HASH,n0,5/8,3/8,2,0,2,2
6120,HASH,n2,3/8,5/8,3,0,3,3
6127,HC_NONINT,n0,1/16,1/2,8,0,8,8
6134,HASH,n0,1/10,3/8,5,0,5,5
6141,HC_NONINT,n0,2/3,1/4,2,0,2,2
6148,HASH,n0,1/8,2/5,4,0,4,4
6162,HASH,n0,3/8,2/3,3,0,3,3
6162,HASH,n2,2/3,1/16,2,0,2,2
6169,HC_NONINT,n1,4/25,3/8,4,0,4,4
6171,HC_INT,n0,1/2,1/4,1,0,1,1
6176,HASH,n0,147/1000,147/1000,1,0,1,1
6176,HASH,n2,1/8,147/1000,3,0,3,3
6183,HC_NONINT,n0,147/1000,3/8,4,0,4,4
6190,HASH,n0,2/5,1/4,2,0,2,2
6199,HC_INT,n0,147/1000,147/1000,1,0,1,1
6204,HASH,n0,147/1000,1/5,3,0,3,3
6204,HASH,n1,1/5,147/1000,2,0,2,2
6211,HC_NONINT,n0,2/3,2/5,2,0,2,2
6213,HC_INT,n1,3/10,3/10,1,0,1,1
6218,HASH,n0,3/8,3/10,2,0,2,2
6218,HASH,n1,3/10,4/25,2,0,2,2
6225,HC_NONINT,n0,1/5,1/3,3,0,3,3
6227,HC_INT,n4,1/4,2/3,4,0,4,4
6232,HASH,n0,1/5,147/1000,2,0,2,2
6239,HC_NONINT,n0,2/3,3/10,2,0,2,2
6241,HC_INT,n0,3/10,1/10,1,0,1,1
6246,HASH,n0,1/2,1/10,1,0,1,1
6253,HC_NONINT,n0,1/2,2/5,2,0,2,2
6255,HC_INT,n1,2/5,1/10,1,0,1,1
6260,HASH,n0,2/5,5/8,3,0,3,3
6267,HC_NONINT,n1,2/5,1/4,2,0,2,2
6269,HC_INT,n0,4/25,4/25,1,0,1,1
6274,HASH,n0,2/5,3/10,2,0,2,2
6281,HC_NONINT,n0,1/100,2/3,68,0,68,68
6281,HC_NONINT,n1,2/3,1/5,2,0,2,2
6288,HASH,n0,2/3,1/2,2,0,2,2
6295,HC_NONINT,n0,1/10,5/8,7,0,7,7
6296,HC_SHIFT_UNDER_HASH,n3,3/10,5/8,3,0,3,3
6296,HC_SHIFT_UNDER_HASH,n4,5/8,3/10,2,0,2,2
6297,HC_INT,n3,1,1/16,1,0,1,1
6299,HC_DEEP,n0,1/10,1/100,1,0,1,1
6302,HASH,n0,147/1000,1/16,2,0,2,2
6309,HC_NONINT,n0,147/1000,1/3,4,0,4,4
6311,HC_INT,n0,1/4,1/100,1,0,1,1
6316,HASH,n0,2/3,1/5,2,0,2,2
6316,HASH,n4,1/5,2/3,4,0,4,4
6323,HC_NONINT,n0,1/4,2/3,4,0,4,4
6325,HC_INT,n0,1,1/5,1,0,1,1
6330,HASH,n0,1/16,1,16,0,16,16
6330,HASH,n2,1,1/16,1,0,1,1
6330,HASH,n4,1,1/16,1,0,1,1
6337,HC_NONINT,n0,1/3,1/10,2,0,2,2
6344,HASH,n0,1/5,147/1000,2,0,2,2
6351,HC_NONINT,n4,1/8,1,8,0,8,8
6353,HC_INT,n0,3/10,1/100,1,0,1,1
6353,HC_INT,n1,3/10,1/100,1,0,1,1
6358,HASH,n0,2/3,2/3,1,0,1,1
6358,HASH,n1,2/3,2/3,1,0,1,1
6365,HC_NONINT,n1,2/5,3/8,2,0,2,2
6367,HC_INT,n5,1/10,1/100,1,0,1,1
6372,HASH,n0,3/10,5/8,3,0,3,3
6372,HASH,n1,3/10,5/8,3,0,3,3
6379,HC_NONINT,n0,1/16,1/5,4,0,4,4
6386,HASH,n0,147/1000,1,8,0,8,8
6393,HC_NONINT,n0,1/4,1/5,2,0,2,2
6400,HASH,n0,1/8,5/8,5,0,5,5
6407,HC_NONINT,n1,1/3,147/1000,2,0,2,2
6414,HASH,n0,1,1,1,0,1,1
6421,HC_NONINT,n0,1/100,1,100,0,100,100
6423,HC_INT,n0,1/4,1/8,1,0,1,1
6428,HASH,n0,3/10,5/8,3,0,3,3
6435,HC_NONINT,n1,4/25,2/5,3,0,3,3
6442,HASH,n0,3/8,3/8,1,0,1,1
6449,HC_NONINT,n0,2/3,5/8,2,0,2,2
6449,HC_NONINT,n1,2/3,5/8,2,0,2,2
6456,HASH,n0,1/2,1/4,1,0,1,1
6463,HC_NONINT,n1,1/2,2/3,2,0,2,2
6470,HASH,n0,5/8,1/5,2,0,2,2
6484,HASH,n0,1/8,4/25,3,0,3,3
6491,HC_NONINT,n0,1/4,3/10,2,0,2,2
6492,HC_SHIFT_UNDER_HASH,n0,1/8,1/4,2,0,2,2
6493,HC_INT,n0,1/4,2/5,3,0,3,3
6493,HC_INT,n3,1/4,2/5,3,0,3,3
6498,HASH,n0,3/10,3/10,1,0,1,1
6507,HC_INT,n0,2/3,1/3,1,0,1,1
6512,HASH,n0,4/25,3/10,3,0,3,3
6512,HASH,n1,3/10,1/5,2,0,2,2
6519,HC_NONINT,n5,2/3,1/16,2,0,2,2
