family	profile	q	block	compute_median_ns	compute_p99_ns	slot_ns	lost_records
F9-R2	NO_R1_NO_R2	8	19	867599	1035857	40000000	0
F9-R2	NO_R2_CANON	8	19	869082	1047654	40000000	0
F9-R2	DEFAULT	8	20	807472	962321	40000000	0
F9-R2	NO_R1_FACTOR	8	20	807879	987229	40000000	0
F9-R2	NO_R1_NO_R2	8	20	877137	1065617	40000000	0
F9-R2	NO_R2_CANON	8	20	879508	1047191	40000000	0
F9-R2	DEFAULT	16	1	1566373	1801907	40000000	0
F9-R2	NO_R1_FACTOR	16	1	1485132	2005868	40000000	0
F9-R2	NO_R1_NO_R2	16	1	1600965	1823222	40000000	0
F9-R2	NO_R2_CANON	16	1	1574717	1871961	40000000	0
F9-R2	DEFAULT	16	2	1485299	1741130	40000000	0
F9-R2	NO_R1_FACTOR	16	2	1556780	1830500	40000000	0
F9-R2	NO_R1_NO_R2	16	2	1629391	1831778	40000000	0
F9-R2	NO_R2_CANON	16	2	1644927	2329253	40000000	0
F9-R2	DEFAULT	16	3	1564551	1792900	40000000	0
F9-R2	NO_R1_FACTOR	16	3	1555904	1779826	40000000	0
F9-R2	NO_R1_NO_R2	16	3	1634199	1886491	40000000	0
F9-R2	NO_R2_CANON	16	3	1565458	1894565	40000000	0
F9-R2	DEFAULT	16	4	1563755	1805714	40000000	0
F9-R2	NO_R1_FACTOR	16	4	1563716	1812211	40000000	0
F9-R2	NO_R1_NO_R2	16	4	1610141	1839620	40000000	0
F9-R2	NO_R2_CANON	16	4	1639087	1886639	40000000	0
F9-R2	DEFAULT	16	5	1533537	1802645	40000000	0
F9-R2	NO_R1_FACTOR	16	5	1484612	1750905	40000000	0
F9-R2	NO_R1_NO_R2	16	5	1624054	1895736	40000000	0
F9-R2	NO_R2_CANON	16	5	1636109	1927476	40000000	0
F9-R2	DEFAULT	16	6	1487408	1818645	40000000	0
F9-R2	NO_R1_FACTOR	16	6	1491186	1767349	40000000	0
F9-R2	NO_R1_NO_R2	16	6	1625572	1857327	40000000	0
F9-R2	NO_R2_CANON	16	6	1561148	1818219	40000000	0
F9-R2	DEFAULT	16	7	1564054	1777125	40000000	0
F9-R2	NO_R1_FACTOR	16	7	1530721	1780440	40000000	0
F9-R2	NO_R1_NO_R2	16	7	1635496	1890956	40000000	0
F9-R2	NO_R2_CANON	16	7	1635608	1898864	40000000	0
F9-R2	DEFAULT	16	8	1560667	1779220	40000000	0
F9-R2	NO_R1_FACTOR	16	8	1555630	1819349	40000000	0
F9-R2	NO_R1_NO_R2	16	8	1585575	1910404	40000000	0
F9-R2	NO_R2_CANON	16	8	1566407	1830293	40000000	0
F9-R2	DEFAULT	16	9	1572410	1810352	40000000	0
F9-R2	NO_R1_FACTOR	16	9	1556338	1807539	40000000	0
F9-R2	NO_R1_NO_R2	16	9	1560169	1863517	40000000	0
F9-R2	NO_R2_CANON	16	9	1643484	1894148	40000000	0
F9-R2	DEFAULT	16	10	1572869	1869310	40000000	0
F9-R2	NO_R1_FACTOR	16	10	1565222	1782293	40000000	0
F9-R2	NO_R1_NO_R2	16	10	1630906	2119807	40000000	0
F9-R2	NO_R2_CANON	16	10	1639683	1915162	40000000	0
F9-R2	DEFAULT	16	11	1560370	1805533	40000000	0
F9-R2	NO_R1_FACTOR	16	11	1556740	1821515	40000000	0
F9-R2	NO_R1_NO_R2	16	11	1622684	1881680	40000000	0
F9-R2	NO_R2_CANON	16	11	1564926	1830867	40000000	0
F9-R2	DEFAULT	16	12	1486685	1825293	40000000	0
F9-R2	NO_R1_FACTOR	16	12	1561315	1824292	40000000	0
F9-R2	NO_R1_NO_R2	16	12	1620536	1831793	40000000	0
F9-R2	NO_R2_CANON	16	12	1639684	1893458	40000000	0
F9-R2	DEFAULT	16	13	1574869	1770607	40000000	0
F9-R2	NO_R1_FACTOR	16	13	1550517	1811347	40000000	0
F9-R2	NO_R1_NO_R2	16	13	1542684	1854236	40000000	0
F9-R2	NO_R2_CANON	16	13	1647387	1885958	40000000	0
F9-R2	DEFAULT	16	14	1484593	1841330	40000000	0
F9-R2	NO_R1_FACTOR	16	14	1474278	1826792	40000000	0
F9-R2	NO_R1_NO_R2	16	14	1635628	1880237	40000000	0
F9-R2	NO_R2_CANON	16	14	1626018	1855978	40000000	0
F9-R2	DEFAULT	16	15	1564870	1762479	40000000	0
F9-R2	NO_R1_FACTOR	16	15	1562815	1819608	40000000	0
F9-R2	NO_R1_NO_R2	16	15	1620888	1816812	40000000	0
F9-R2	NO_R2_CANON	16	15	1635499	1863644	40000000	0
F9-R2	DEFAULT	16	16	1498500	1730589	40000000	0
F9-R2	NO_R1_FACTOR	16	16	1558351	1772404	40000000	0
F9-R2	NO_R1_NO_R2	16	16	1616409	1866888	40000000	0
F9-R2	NO_R2_CANON	16	16	1566798	1891090	40000000	0
F9-R2	DEFAULT	16	17	1557074	1829626	40000000	0
F9-R2	NO_R1_FACTOR	16	17	1555685	1744923	40000000	0
F9-R2	NO_R1_NO_R2	16	17	1618739	1810274	40000000	0
F9-R2	NO_R2_CANON	16	17	1645813	1850589	40000000	0
F9-R2	DEFAULT	16	18	1569777	1798144	40000000	0
F9-R2	NO_R1_FACTOR	16	18	1562870	1804348	40000000	0
F9-R2	NO_R1_NO_R2	16	18	1619146	1889180	40000000	0
F9-R2	NO_R2_CANON	16	18	1639646	1886329	40000000	0
F9-R2	DEFAULT	16	19	1564240	1828533	40000000	0
F9-R2	NO_R1_FACTOR	16	19	1553795	1783570	40000000	0
F9-R2	NO_R1_NO_R2	16	19	1547128	1834791	40000000	0
F9-R2	NO_R2_CANON	16	19	1560666	1848977	40000000	0
F9-R2	DEFAULT	16	20	1563962	1766497	40000000	0
F9-R2	NO_R1_FACTOR	16	20	1511666	1741478	40000000	0
F9-R2	NO_R1_NO_R2	16	20	1630832	1898551	40000000	0
F9-R2	NO_R2_CANON	16	20	1637110	1886421	40000000	0
F9-R2	DEFAULT	32	1	3103512	3471083	40000000	0
F9-R2	NO_R1_FACTOR	32	1	3017942	3397827	40000000	0
F9-R2	NO_R1_NO_R2	32	1	3185751	3644594	40000000	0
F9-R2	NO_R2_CANON	32	1	3167329	3533972	40000000	0
F9-R2	DEFAULT	32	2	3101967	3750145	40000000	0
F9-R2	NO_R1_FACTOR	32	2	2937191	3387353	40000000	0
F9-R2	NO_R1_NO_R2	32	2	3182873	3486629	40000000	0
F9-R2	NO_R2_CANON	32	2	3184892	3587109	40000000	0
F9-R2	DEFAULT	32	3	3109067	3414951	40000000	0
F9-R2	NO_R1_FACTOR	32	3	3113826	3538025	40000000	0
F9-R2	NO_R1_NO_R2	32	3	3167826	3518246	40000000	0
F9-R2	NO_R2_CANON	32	3	3197109	3502276	40000000	0
F9-R2	DEFAULT	32	4	3112181	3421640	40000000	0
F9-R2	NO_R1_FACTOR	32	4	2978607	3412397	40000000	0
F9-R2	NO_R1_NO_R2	32	4	3169623	3586822	40000000	0
F9-R2	NO_R2_CANON	32	4	3202364	3577099	40000000	0
F9-R2	DEFAULT	32	5	3128258	3482883	40000000	0
F9-R2	NO_R1_FACTOR	32	5	3114332	3479217	40000000	0
F9-R2	NO_R1_NO_R2	32	5	3154739	3464791	40000000	0
