case,profile,rep,scale,f_phi_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W2_Q01,STRUCT,15,6,90,684,0,142452,321275,326757,98140336,35103,187461,440856,465457,475622,20336,33,262572,1500,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6068
W2_Q08,STRUCT,14,6,90,684,0,613439,881251,985584,370754890,29075,693557,1005318,1059316,1112534,20336,61,577660,2001,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
W2_Q01,STRUCT,13,6,90,684,0,140406,322367,353330,97773111,42618,189468,441899,469718,489303,20340,33,261405,1463,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6068
W2_Q01,ALGSTRUCT,3,6,90,684,0,134535,276164,291293,93003596,32328,197748,396895,410667,420805,20336,31,280035,1370,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6064
W2_Q01,STRUCT,2,6,90,684,0,144294,326071,375497,98142380,39284,192857,444547,490240,496830,20336,33,261977,1409,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6067
W2_Q32,OFF,1,6,90,684,0,2449247,2818142,2891456,1319691447,33315,2516257,2959663,2988702,3039670,20476,160,1581486,3315,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6105
W2_Q01,STRUCT_R1,11,6,90,684,0,136165,270517,292164,93662484,38617,200385,390157,410341,412431,20340,32,281609,1259,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6066
W2_Q08,ALGSTRUCT,5,6,90,684,0,638244,818271,854714,358802318,32409,707842,945790,968816,974010,20336,60,587625,1370,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6069
W2_Q08,OFF,14,6,90,684,0,609115,883455,917381,370314968,36406,688093,1013068,1041322,1048866,20336,61,466366,2093,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q01,STRUCT,3,6,90,684,0,138526,331738,396367,98884007,49813,191337,457360,512984,517870,20340,33,264221,1444,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6067
W2_Q08,OFF,11,6,90,684,0,608189,880530,898770,369442945,35246,687335,1005885,1031586,1034417,20336,61,464496,1926,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
