ts_epoch,load1,mem_used_kb,temp_mC
1785437016,1.22,301800,40407
1785437017,1.22,300676,39433
1785437018,1.22,300060,39920
1785437019,1.21,300276,41381
1785437020,1.21,299992,40407
1785437022,1.21,301368,40407
1785437023,1.21,300480,39920
1785437024,1.21,299476,40407
1785437025,1.27,298404,40407
1785437026,1.27,302268,41381
1785437027,1.27,301004,40407
1785437028,1.27,301560,40407
1785437029,1.27,300832,41868
1785437030,1.49,300600,40894
1785437031,1.49,299140,41381
1785437032,1.49,295220,40894
1785437033,1.49,302064,41381
1785437034,1.37,301500,40894
1785437035,1.37,303116,41381
1785437036,1.37,302368,40894
1785437037,1.37,302136,40894
1785437038,1.37,289592,40894
1785437039,1.34,302020,40407
1785437040,1.34,301408,41381
1785437041,1.34,303480,40894
1785437042,1.34,303288,41868
1785437043,1.34,301348,40894
1785437044,1.23,300348,40894
1785437046,1.23,298676,40894
1785437047,1.23,298756,41381
1785437048,1.23,300116,41868
1785437049,1.23,301108,40894
1785437050,1.21,299272,41381
1785437051,1.21,300280,40407
1785437052,1.21,304220,40407
1785437053,1.21,303800,40407
1785437054,1.21,302500,40894
1785437055,1.28,302888,40894
1785437056,1.28,300600,40894
1785437057,1.28,299196,39920
1785437058,1.28,296532,41868
1785437059,1.17,304960,41381
1785437060,1.17,303572,40407
1785437061,1.17,301816,41868
1785437062,1.17,300456,41381
1785437063,1.17,300168,41381
1785437064,1.08,297896,41381
1785437065,1.08,305224,40407
1785437066,1.08,303320,40407
1785437067,1.08,303500,40894
1785437068,1.08,302568,40407
1785437069,0.99,300704,40407
1785437071,0.99,288292,41868
1785437072,0.99,299348,39920
1785437073,0.99,299012,39433
1785437074,0.99,301452,40894
1785437075,1.15,301896,40894
1785437076,1.15,301224,40894
1785437077,1.15,300188,39920
1785437078,1.15,300680,39920
1785437079,1.15,300260,39920
1785437080,1.06,301756,40894
1785437081,1.06,301620,39920
1785437082,1.06,300836,41381
1785437083,1.06,300028,41381
1785437084,1.06,301576,40407
1785437085,1.06,300888,39920
1785437086,1.06,302060,41381
1785437087,1.06,302276,40894
1785437088,1.06,300952,41381
1785437089,1.13,300288,41868
1785437090,1.13,305972,41381
1785437091,1.13,303768,39920
1785437092,1.13,306360,41381
1785437093,1.13,305924,40894
1785437095,1.04,304228,41381
1785437096,1.04,302924,40407
1785437097,1.04,301768,41868
1785437098,1.04,302140,40407
1785437099,1.04,301616,41868
1785437100,1.28,301980,40407
1785437101,1.28,301488,41868
1785437102,1.28,301040,40894
1785437103,1.28,297832,41381
1785437104,1.28,300896,40894
1785437105,1.34,300520,39920
1785437106,1.34,303044,41381
1785437107,1.34,302924,41381
1785437108,1.34,301900,41381
1785437109,1.31,290376,41381
1785437110,1.31,301436,40407
1785437111,1.31,300264,40894
1785437112,1.31,302116,41381
1785437113,1.31,302008,41381
1785437114,1.28,301992,40894
1785437115,1.28,300388,40894
1785437116,1.28,300892,40407
1785437117,1.28,301136,40407
1785437118,1.28,301700,39920
1785437120,1.42,301740,40894
1785437121,1.42,301260,41381
1785437122,1.42,300444,41381
1785437123,1.42,307044,40407
1785437124,1.42,304736,40894
1785437125,1.47,305360,41381
1785437126,1.47,304512,41381
1785437127,1.47,303684,39920
1785437128,1.47,302972,40894
1785437129,1.47,297916,41868
1785437130,1.59,298032,41381
1785437131,1.59,299360,40407
1785437132,1.59,300624,42355
1785437133,1.59,300624,40894
1785437134,1.46,299748,40407
1785437135,1.46,296004,40894
1785437136,1.46,304516,39920
1785437137,1.46,303496,40894
1785437138,1.46,304860,41868
1785437139,1.43,305396,40894
1785437140,1.43,304344,41868
1785437141,1.43,293184,41381
1785437142,1.43,303928,41868
1785437144,1.43,303424,39920
1785437145,1.31,305000,40894
1785437146,1.31,303368,41868
1785437147,1.31,302024,42842
1785437148,1.31,301820,41868
1785437149,1.31,306116,40894
1785437150,1.29,304396,41381
1785437151,1.29,305748,39920
1785437152,1.29,305444,41381
1785437153,1.29,304176,40407
1785437154,1.29,302008,40894
1785437155,1.50,300456,41381
1785437156,1.50,300260,40894
1785437157,1.50,301440,41868
1785437158,1.50,301360,40894
1785437159,1.46,301132,40894
1785437160,1.46,302028,41381
1785437161,1.46,307368,39433
1785437162,1.46,306500,40894
1785437163,1.46,307056,41868
1785437164,1.43,306604,40407
1785437165,1.43,305232,42842
1785437166,1.43,304488,40894
1785437167,1.43,303136,42355
1785437169,1.43,309784,40894
1785437170,1.31,308168,40407
1785437171,1.31,307992,40407
1785437172,1.31,306316,41381
1785437173,1.31,305604,39920
1785437174,1.31,298500,42355
1785437175,1.21,307080,40894
1785437176,1.21,305688,40894
1785437177,1.21,306772,42355
1785437178,1.21,306268,41868
1785437179,1.21,306524,41381
1785437180,1.67,295156,40407
1785437181,1.67,297936,42355
1785437182,1.67,297928,40894
1785437183,1.67,301644,40894
1785437184,1.78,301920,40894
1785437185,1.78,302332,41868
1785437186,1.78,302088,40894
1785437187,1.78,302428,40407
1785437188,1.78,302156,40894
1785437189,1.96,304036,41381
1785437190,1.96,304244,40894
1785437191,1.96,302992,40894
1785437193,1.96,302812,41868
1785437194,1.96,305492,40407
1785437195,1.80,304816,39920
1785437196,1.80,305464,40894
1785437197,1.80,304328,40894
1785437198,1.80,302832,41381
1785437199,1.80,302496,41868
1785437200,1.89,304228,41381
1785437201,1.89,304000,39920
1785437202,1.89,304988,41381
1785437203,1.89,304088,41381
1785437204,1.89,303588,40894
1785437205,1.82,303644,41381
1785437206,1.82,299340,41868
1785437207,1.82,307100,40894
1785437208,1.82,307604,40407
1785437209,2.08,307584,40894
1785437210,2.08,305156,40894
1785437211,2.08,304608,42355
1785437212,2.08,301552,41868
1785437213,2.08,303676,41868
1785437214,1.99,303692,40894
1785437215,1.99,304188,40894
1785437216,1.99,303692,40894
1785437218,1.99,302356,40407
1785437219,1.99,301176,42355
1785437220,2.07,303516,41868
1785437221,2.07,303612,40894
1785437222,2.07,305592,42355
1785437223,2.07,306132,41868
1785437224,2.07,304004,40894
1785437225,1.91,303060,41868
1785437226,1.91,302968,40894
1785437227,1.91,302664,40894
1785437228,1.91,304596,41868
1785437229,1.91,303944,41868
1785437230,1.91,303856,41868
1785437231,1.91,303708,41868
1785437232,1.91,310664,40894
1785437233,1.91,308956,41868
1785437234,2.16,309984,41381
1785437235,2.16,308304,41868
1785437236,2.16,308436,41381
1785437237,2.16,307144,40407
1785437238,2.16,298116,41868
1785437239,1.99,306640,40894
1785437240,1.99,306300,41381
1785437242,1.99,306788,41868
1785437243,1.99,305732,42355
1785437244,1.99,305248,42842
1785437245,2.15,294460,42355
1785437246,2.15,308100,39920
1785437247,2.15,307056,40407
1785437248,2.15,307200,40894
1785437249,2.15,306756,41868
1785437250,1.98,306420,40894
1785437251,1.98,305664,41381
1785437252,1.98,299112,40407
1785437253,1.98,298912,41381
1785437254,1.90,300480,41381
1785437255,1.90,302356,41381
1785437256,1.90,303364,40894
1785437257,1.90,302980,40407
1785437258,1.90,305860,40407
1785437259,1.75,305392,40894
1785437260,1.75,305992,40894
1785437261,1.75,305888,41868
1785437262,1.75,304296,41381
1785437263,1.75,303844,40894
1785437264,1.69,311592,40894
1785437265,1.69,309084,39920
1785437267,1.69,310268,41868
1785437268,1.69,308444,41381
1785437269,1.69,307668,42355
1785437270,1.87,307088,40407
1785437271,1.87,309040,40894
1785437272,1.87,308196,40894
1785437273,1.87,309284,41868
1785437274,1.87,309260,41381
1785437275,1.80,307644,40894
1785437276,1.80,306828,41381
1785437277,1.80,301880,41381
1785437278,1.80,301880,40894
1785437279,1.82,303140,40407
1785437280,1.82,303300,41868
1785437281,1.82,302900,40894
1785437282,1.82,303080,40894
1785437283,1.82,301672,41381
1785437284,1.67,309340,40407
1785437285,1.67,308228,40894
1785437286,1.67,309888,39920
1785437287,1.67,307308,40894
1785437288,1.67,306036,40894
1785437289,1.62,302168,40894
1785437291,1.62,304224,40407
1785437292,1.62,303884,40407
1785437293,1.62,303880,40894
1785437294,1.62,303880,41381
1785437295,1.57,304236,41381
1785437296,1.57,293144,41868
1785437297,1.57,307996,39920
1785437298,1.57,307748,40894
1785437299,1.57,308544,41381
1785437300,1.60,307588,41868
1785437301,1.60,306604,42355
1785437302,1.60,305936,40894
1785437303,1.60,309464,40894
1785437304,1.47,308732,40894
1785437305,1.47,308504,40894
1785437306,1.47,308768,41868
1785437307,1.47,308892,41381
1785437308,1.47,308164,41381
1785437309,1.60,306940,41868
1785437310,1.60,306940,41381
1785437311,1.60,306664,41381
1785437312,1.60,305976,41381
1785437313,1.60,305556,41381
1785437314,1.71,304764,42355
1785437316,1.71,300084,41868
1785437317,1.71,307784,40894
1785437318,1.71,306680,41868
1785437319,1.71,308948,40894
1785437320,1.57,307084,40894
1785437321,1.57,305816,41381
1785437322,1.57,302520,40407
1785437323,1.57,309868,40894
1785437324,1.57,308816,40894
1785437325,1.69,309604,41381
1785437326,1.69,309424,42355
1785437327,1.69,308192,41381
1785437328,1.69,296172,39920
1785437329,1.55,305212,41381
1785437330,1.55,304920,40894
1785437331,1.55,307596,41381
1785437332,1.55,306800,40407
1785437333,1.55,306712,40894
1785437334,1.59,305320,41868
1785437335,1.59,302632,40894
1785437336,1.59,302188,41381
1785437337,1.59,304568,40894
1785437338,1.59,304784,41868
1785437340,1.46,303988,41868
1785437341,1.46,303912,41381
1785437342,1.46,311836,41381
1785437343,1.46,310040,40407
1785437344,1.46,310792,41381
1785437345,1.34,309668,41381
1785437346,1.34,307568,40894
1785437347,1.34,306596,41868
1785437348,1.34,307544,41381
1785437349,1.34,307704,40407
1785437350,1.24,308640,41381
1785437351,1.24,308588,40894
1785437352,1.24,307556,41381
