plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,engine_origin,oracle_origin,replica_origin,step_origin,agree_origin,agree_step_origin,engine_silence,oracle_silence,agree_silence,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
9192,REDUCE,"HC_DEEP,HC_SINGLE",5,n0,REDUCE,1/16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9192,REDUCE,"HC_DEEP,HC_SINGLE",5,n1,REDUCE,1/16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9192,REDUCE,"HC_DEEP,HC_SINGLE",5,n2,REDUCE,1/16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9192,REDUCE,"HC_DEEP,HC_SINGLE",5,n3,REDUCE,1/16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9192,REDUCE,"HC_DEEP,HC_SINGLE",5,n4,REDUCE,1/16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9193,HC_NONINT,"HC_DEEP,HC_NONINT",4,n0,AGSE,8/25,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9193,HC_NONINT,"HC_DEEP,HC_NONINT",4,n1,HASH,8/33,4,4,5,4,4,4,1,0,1,0,0,0,0,0,1,1,4,4,1,0,4,0,4,0,
9193,HC_NONINT,"HC_DEEP,HC_NONINT",4,n2,SUB,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9193,HC_NONINT,"HC_DEEP,HC_NONINT",4,n3,PASS,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9194,HC_SHIFT_UNDER_HASH,"HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",3,n0,SHIFT,1/16,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
9194,HC_SHIFT_UNDER_HASH,"HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",3,n1,HASH,1/32,1,1,2,1,1,1,1,0,1,0,2,2,2,2,1,1,3,3,1,0,1,0,1,0,
9194,HC_SHIFT_UNDER_HASH,"HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",3,n2,HASH,1/48,2,2,4,2,2,3,1,0,1,0,3,3,3,3,1,1,5,5,1,2,2,0,0,0,
9195,HC_INT,"HC_DEEP,HC_INT",4,n0,PASS,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9195,HC_INT,"HC_DEEP,HC_INT",4,n1,AGSE,1/200,1,1,2,1,1,1,1,0,1,0,2,2,2,2,1,1,3,3,1,0,1,0,1,0,
9195,HC_INT,"HC_DEEP,HC_INT",4,n2,SUB,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9195,HC_INT,"HC_DEEP,HC_INT",4,n3,HASH,1/2,1,1,4,1,1,3,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
9196,HC_SINGLE,HC_SINGLE,1,n0,AGSE,1/10,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
9197,HC_DEEP,HC_DEEP,5,n0,SHIFT,1/4,0,0,0,0,0,0,1,1,1,1,5,5,5,5,1,1,5,5,1,0,0,0,0,0,
9197,HC_DEEP,HC_DEEP,5,n1,SHIFT,1/4,0,0,0,0,0,0,1,1,1,1,7,7,7,7,1,1,7,7,1,0,0,0,0,0,
9197,HC_DEEP,HC_DEEP,5,n2,THETA,1/3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
9197,HC_DEEP,HC_DEEP,5,n3,REDUCE,4/25,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9197,HC_DEEP,HC_DEEP,5,n4,AGSE,1/4,0,0,1,0,0,0,1,0,1,0,10,10,10,10,1,1,10,10,1,0,0,0,0,0,
9198,PASS,HC_SINGLE,2,n0,PASS,1/10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9198,PASS,HC_SINGLE,2,n1,PASS,1/10,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9199,SHIFT,HC_SINGLE,2,n0,SHIFT,5/8,0,0,0,0,0,0,1,1,1,1,8,8,8,8,1,1,8,8,1,0,0,0,0,0,
9199,SHIFT,HC_SINGLE,2,n1,SHIFT,5/8,0,0,0,0,0,0,1,1,1,1,13,13,13,13,1,1,13,13,1,0,0,0,0,0,
9200,HASH,"HC_DEEP,HC_NONINT",4,n0,HASH,1/108,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,2,2,1,0,1,0,2,1,
9200,HASH,"HC_DEEP,HC_NONINT",4,n1,HASH,1/116,7,7,8,7,7,7,1,0,1,0,0,0,0,0,1,1,7,7,1,0,7,0,7,0,
9200,HASH,"HC_DEEP,HC_NONINT",4,n2,HASH,1/116,14,14,15,14,14,14,1,0,1,0,0,0,0,0,1,1,14,14,1,3,14,0,11,0,
9200,HASH,"HC_DEEP,HC_NONINT",4,n3,HASH,1/216,28,28,30,28,28,30,1,0,1,1,0,0,0,0,1,1,28,28,1,27,28,0,1,0,
9201,ADD,,1,n0,ADD,1/100,15,15,16,15,15,15,1,0,1,0,0,0,0,0,1,1,15,15,1,0,15,0,15,0,
9202,SUB,HC_DEEP,5,n0,SUB,3/4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9202,SUB,HC_DEEP,5,n1,SUB,1/100,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9202,SUB,HC_DEEP,5,n2,SUB,7/300,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9202,SUB,HC_DEEP,5,n3,SUB,1/100,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9202,SUB,HC_DEEP,5,n4,SUB,2/75,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9203,THETA,,2,n0,THETA,9/20,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
